Futu Holdings Price to Free Cash Flow Ratio Historical Data,Futu Holdings Price to Free Cash Flow Ratio Historical Data,Futu Holdings Price to Free Cash Flow Ratio Historical Data,Futu Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,89.71,,0.0
2024-06-30,65.61,$-5.87,0.0
2024-03-31,54.15,$-5.87,0.0
2023-12-31,54.63,$-5.87,0.0
2023-09-30,57.81,$1.14,50.74
2023-06-30,39.74,$-9.45,0.0
2023-03-31,51.85,$3.02,17.2
2022-12-31,40.65,$3.02,13.48
2022-09-30,37.29,$6.87,5.43
2022-06-30,52.21,$17.46,2.99
2022-03-31,32.56,$5.00,6.52
2021-12-31,43.3,$5.00,8.67
2021-09-30,91.02,$18.94,4.81
2021-06-30,179.09,$18.94,9.46
2021-03-31,158.82,$18.94,8.39
2020-12-31,45.75,$18.94,2.42
2019-12-31,10.32,0,0.0
2019-09-30,10.97,0,0.0
2019-06-30,10.57,0,0.0
2019-03-31,18.52,0,0.0
