TransAlta Price to Free Cash Flow Ratio Historical Data,TransAlta Price to Free Cash Flow Ratio Historical Data,TransAlta Price to Free Cash Flow Ratio Historical Data,TransAlta Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.51,,4.91
2024-06-30,7.03,$2.14,3.28
2024-03-31,6.39,$1.53,4.17
2023-12-31,8.2,$1.66,4.94
2023-09-30,8.54,$1.44,5.92
2023-06-30,9.15,$-0.22,0.0
2023-03-31,8.52,$-0.48,0.0
2022-12-31,8.69,$0.07,122.41
2022-09-30,8.52,$-0.07,0.0
2022-06-30,10.95,$1.63,6.72
2022-03-31,9.92,$2.28,4.36
2021-12-31,10.61,$1.65,6.43
2021-09-30,10.03,$1.61,6.24
2021-06-30,9.45,$0.48,19.58
2021-03-31,8.92,$0.70,12.79
2020-12-31,7.13,$0.60,11.83
2020-09-30,5.75,$0.89,6.44
2020-06-30,5.51,$1.16,4.76
2020-03-31,4.85,$1.44,3.37
2019-12-31,6.59,$1.19,5.56
2019-09-30,5.96,$1.26,4.72
2019-06-30,5.94,$0.78,7.58
2019-03-31,6.67,$0.49,13.69
2018-12-31,3.72,$1.47,2.54
2018-09-30,5.06,$1.37,3.7
2018-06-30,4.47,$1.50,2.98
2018-03-31,4.84,$1.31,3.71
2017-12-31,5.26,$0.78,6.75
2017-09-30,5.14,$0.82,6.31
2017-06-30,5.6,$0.88,6.36
2017-03-31,5.09,$1.12,4.53
2016-12-31,4.76,$1.03,4.63
2016-09-30,3.83,$1.06,3.6
2016-06-30,4.46,$0.94,4.77
2016-03-31,3.95,$0.30,13.31
2015-12-31,2.99,$-0.08,0.0
2015-09-30,3.8,$-0.17,0.0
2015-06-30,6.17,$0.14,44.65
2015-03-31,7.29,$0.43,16.88
2014-12-31,6.99,$1.02,6.85
2014-09-30,7.98,$1.28,6.23
2014-06-30,9.19,$1.09,8.46
2014-03-31,8.6,$0.99,8.67
2013-12-31,9.24,$0.80,11.52
2013-09-30,9.06,$0.74,12.19
2013-06-30,9.39,$-0.28,0.0
2013-03-31,9.79,$-0.41,0.0
2012-12-31,10.04,$-0.71,0.0
2012-09-30,9.88,$-0.66,0.0
2012-06-30,10.77,$0.48,22.37
2012-03-31,11.7,$1.07,10.97
2011-12-31,12.68,$1.14,11.1
2011-09-30,13.21,$1.40,9.43
2011-06-30,12.8,$1.15,11.17
2011-03-31,12.45,$0.18,70.47
2010-12-31,12.37,$0.12,104.46
2010-09-30,12.29,$-0.08,0.0
2010-06-30,10.5,$-0.72,0.0
2010-03-31,12.34,$-0.90,0.0
2009-12-31,12.3,$-1.31,0.0
