Applied Therapeutics Price to Free Cash Flow Ratio Historical Data,Applied Therapeutics Price to Free Cash Flow Ratio Historical Data,Applied Therapeutics Price to Free Cash Flow Ratio Historical Data,Applied Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.63,,0.0
2024-06-30,4.67,$-0.63,0.0
2024-03-31,6.8,$-0.68,0.0
2023-12-31,3.35,$-0.65,0.0
2023-09-30,2.49,$-1.19,0.0
2023-06-30,1.28,$-0.77,0.0
2023-03-31,0.81,$-1.26,0.0
2022-12-31,0.76,$-2.06,0.0
2022-09-30,0.93,$-2.40,0.0
2022-06-30,0.95,$-3.29,0.0
2022-03-31,2.11,$-3.56,0.0
2021-12-31,8.95,$-3.54,0.0
2021-09-30,16.6,$-3.52,0.0
2021-06-30,20.78,$-3.83,0.0
2021-03-31,18.76,$-3.58,0.0
2020-12-31,22.01,$-3.56,0.0
2020-09-30,20.76,$-4.30,0.0
2020-06-30,36.15,$-4.80,0.0
2020-03-31,32.69,$-4.13,0.0
