Pactiv Evergreen Price to Free Cash Flow Ratio Historical Data,Pactiv Evergreen Price to Free Cash Flow Ratio Historical Data,Pactiv Evergreen Price to Free Cash Flow Ratio Historical Data,Pactiv Evergreen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.3,,19.39
2024-06-30,11.32,$0.63,17.84
2024-03-31,14.32,$0.11,130.54
2023-12-31,13.71,$0.99,13.84
2023-09-30,8.13,$1.24,6.56
2023-06-30,7.57,$0.16,46.93
2022-12-31,11.36,$0.87,12.99
2022-09-30,8.73,$0.14,60.37
2022-06-30,9.87,$0.17,56.92
2022-03-31,9.87,$0.28,35.89
2021-12-31,12.31,$0.12,103.47
2023-03-31,8.0,$0.09,89.39
2021-09-30,12.06,$-0.38,0.0
2021-06-30,14.41,$-0.80,0.0
