MAG Silver Price to Free Cash Flow Ratio Historical Data,MAG Silver Price to Free Cash Flow Ratio Historical Data,MAG Silver Price to Free Cash Flow Ratio Historical Data,MAG Silver Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.78,,0.0
2024-06-30,11.67,$-0.29,0.0
2024-03-31,10.58,$-0.25,0.0
2023-12-31,10.41,$-0.24,0.0
2023-09-30,10.37,$-0.21,0.0
2023-06-30,11.14,$-0.21,0.0
2023-03-31,12.67,$-0.24,0.0
2022-12-31,15.63,$-0.21,0.0
2022-09-30,12.48,$-0.19,0.0
2022-06-30,12.17,$-0.17,0.0
2022-03-31,16.17,$-0.13,0.0
2021-12-31,15.67,$-0.15,0.0
2021-09-30,16.2,$-0.17,0.0
2021-06-30,20.92,$-0.16,0.0
2021-03-31,15.01,$-0.14,0.0
2020-12-31,20.52,$-0.12,0.0
2020-09-30,16.26,$-0.09,0.0
2020-06-30,14.1,$-0.09,0.0
2020-03-31,7.68,$-0.09,0.0
2019-12-31,11.84,$-0.08,0.0
2019-09-30,10.61,$-0.08,0.0
2019-06-30,10.54,$-0.07,0.0
2019-03-31,10.66,$-0.07,0.0
2018-12-31,7.3,$-0.07,0.0
2018-09-30,8.11,$-0.07,0.0
2018-06-30,10.81,$-0.09,0.0
2018-03-31,9.75,$-0.07,0.0
2017-12-31,12.36,$-0.07,0.0
2017-09-30,11.23,$-0.07,0.0
2017-06-30,13.04,$-0.04,0.0
2017-03-31,13.13,$-0.07,0.0
2016-12-31,11.03,$-0.07,0.0
2016-09-30,15.08,$-0.08,0.0
2016-06-30,12.61,$-0.09,0.0
2016-03-31,9.44,$-0.09,0.0
2015-12-31,7.06,$-0.09,0.0
2015-09-30,7.12,$-0.05,0.0
2015-06-30,7.84,$-0.08,0.0
2015-03-31,6.15,$-0.07,0.0
2014-12-31,8.15,$-0.10,0.0
2014-09-30,7.44,$-0.14,0.0
2014-06-30,9.46,$-0.13,0.0
2014-03-31,6.9,$-0.16,0.0
2013-12-31,5.16,$-0.15,0.0
2013-09-30,5.88,$-0.15,0.0
2013-06-30,5.84,$-0.21,0.0
2013-03-31,9.49,$-0.28,0.0
2012-12-31,10.29,$-0.30,0.0
2012-09-30,12.18,$-0.43,0.0
2012-06-30,8.7,$-0.37,0.0
2012-03-31,10.1,$-0.21,0.0
2011-12-31,6.66,$-0.23,0.0
2011-09-30,7.84,$-0.11,0.0
2011-06-30,9.98,$-0.10,0.0
2011-03-31,11.93,$-0.20,0.0
2010-12-31,12.44,$-0.13,0.0
2010-09-30,7.68,$0.04,189.16
2010-06-30,6.08,$0.02,351.45
2010-03-31,7.42,$0.03,230.43
2009-12-31,5.99,$0.00,0.0
