Camden Property Trust Price to Free Cash Flow Ratio Historical Data,Camden Property Trust Price to Free Cash Flow Ratio Historical Data,Camden Property Trust Price to Free Cash Flow Ratio Historical Data,Camden Property Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,125.2,,19.26
2024-06-30,109.11,$6.50,16.78
2024-03-31,97.48,$7.05,13.82
2023-12-31,97.33,$6.17,15.78
2023-09-30,91.81,$-5.87,0.0
2023-06-30,104.58,$-5.72,0.0
2023-03-31,99.79,$-6.98,0.0
2022-12-31,105.46,$-6.46,0.0
2022-09-30,111.69,$3.59,31.14
2022-06-30,124.75,$1.49,83.86
2022-03-31,153.1,$-1.22,0.0
2021-12-31,163.68,$-2.20,0.0
2021-09-30,134.46,$-3.25,0.0
2021-06-30,120.3,$-1.90,0.0
2021-03-31,99.05,$0.90,110.45
2020-12-31,89.27,$0.93,95.63
2020-09-30,78.83,$0.06,1387.9
2020-06-30,80.07,$0.34,236.14
2020-03-31,68.92,$-1.36,0.0
2019-12-31,91.37,$-2.22,0.0
2019-09-30,94.88,$-0.65,0.0
2019-06-30,88.58,$-1.90,0.0
2019-03-31,85.47,$-0.31,0.0
2018-12-31,73.57,$-1.41,0.0
2018-09-30,77.53,$-0.77,0.0
2018-06-30,74.87,$0.14,519.96
2018-03-31,68.58,$-0.39,0.0
2017-12-31,74.32,$1.67,44.59
2017-09-30,73.23,$0.64,113.66
2017-06-30,67.92,$5.64,12.05
2017-03-31,63.36,$6.65,9.52
2016-12-31,65.59,$6.82,9.61
2016-09-30,64.72,$7.40,8.75
2016-06-30,64.49,$2.08,30.96
2016-03-31,60.8,$1.01,60.35
2015-12-31,55.01,$1.75,31.46
2015-09-30,52.47,$2.69,19.51
2015-06-30,52.22,$2.59,20.16
2015-03-31,54.42,$2.23,24.38
2014-12-31,50.97,$1.09,46.6
2014-09-30,46.88,$-2.42,0.0
2014-06-30,48.2,$-2.88,0.0
2014-03-31,45.2,$-3.13,0.0
2013-12-31,37.8,$-1.93,0.0
2013-09-30,40.38,$-2.66,0.0
2013-06-30,45.0,$-3.38,0.0
2013-03-31,44.29,$-3.64,0.0
2012-12-31,43.59,$-5.05,0.0
2012-09-30,40.87,$-2.22,0.0
2012-06-30,42.51,$-1.30,0.0
2012-03-31,40.96,$0.26,155.44
2011-12-31,38.43,$1.01,37.96
2011-09-30,33.84,$2.76,12.27
2011-06-30,38.62,$3.68,10.48
2011-03-31,34.22,$3.82,8.95
2010-12-31,32.23,$3.84,8.4
2010-09-30,28.39,$2.35,12.1
2010-06-30,23.95,$2.21,10.85
2010-03-31,24.16,$2.64,9.16
2009-12-31,24.33,$2.77,8.77
