Harrow Price to Free Cash Flow Ratio Historical Data,Harrow Price to Free Cash Flow Ratio Historical Data,Harrow Price to Free Cash Flow Ratio Historical Data,Harrow Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.41,,0.0
2024-06-30,20.89,$-0.00,0.0
2024-03-31,13.23,$0.23,58.15
2023-12-31,11.2,$0.07,153.42
2023-09-30,14.37,$-0.13,0.0
2023-06-30,19.04,$-0.15,0.0
2023-03-31,21.16,$-0.12,0.0
2022-12-31,14.76,$0.19,78.89
2022-09-30,12.07,$0.08,157.16
2022-06-30,7.28,$0.04,183.38
2022-03-31,6.82,$0.03,195.98
2021-12-31,8.64,$0.12,70.13
2021-09-30,9.09,$0.15,58.72
2021-06-30,9.29,$0.34,27.2
2021-03-31,6.75,$0.06,106.13
2020-12-31,6.86,$-0.08,0.0
2020-09-30,5.59,$-0.02,0.0
2020-06-30,5.21,$-0.12,0.0
2020-03-31,3.82,$0.01,269.01
2019-12-31,7.78,$-0.02,0.0
2019-09-30,5.62,$-0.08,0.0
2019-06-30,8.7,$-0.09,0.0
2019-03-31,4.98,$-0.05,0.0
2018-12-31,5.69,$-0.05,0.0
2018-09-30,2.78,$-0.05,0.0
2018-06-30,2.2,$-0.19,0.0
2018-03-31,1.76,$-0.31,0.0
2017-12-31,1.7,$-0.47,0.0
2017-09-30,1.61,$-0.71,0.0
2017-06-30,3.2,$-0.89,0.0
2017-03-31,4.17,$-1.19,0.0
2016-12-31,2.5,$-1.42,0.0
2016-09-30,3.81,$-1.53,0.0
2016-06-30,3.76,$-1.48,0.0
2016-03-31,3.97,$-1.47,0.0
2015-12-31,6.93,$-1.27,0.0
2015-09-30,6.42,$-1.12,0.0
2015-06-30,8.13,$-1.03,0.0
2015-03-31,7.99,$-0.85,0.0
2014-12-31,7.5,$-0.79,0.0
2014-09-30,7.42,$-0.71,0.0
2014-06-30,6.94,$-0.64,0.0
2014-03-31,6.71,$-0.57,0.0
2013-12-31,3.36,$-0.52,0.0
2013-09-30,4.5,$-0.57,0.0
2013-06-30,8.48,$-0.49,0.0
2013-03-31,5.9,$-0.23,0.0
2012-12-31,9.75,$-0.43,0.0
2012-09-30,9.5,$5.14,1.85
2012-06-30,3.0,$3.53,0.85
2012-03-31,4.5,$1.28,3.51
2011-12-31,4.8,0,0.0
2010-09-30,36.0,$-5.35,0.0
2010-06-30,46.0,$-3.70,0.0
2010-03-31,40.0,$-1.61,0.0
2009-12-31,60.0,0,0.0
