Central Puerto S.A Price to Free Cash Flow Ratio Historical Data,Central Puerto S.A Price to Free Cash Flow Ratio Historical Data,Central Puerto S.A Price to Free Cash Flow Ratio Historical Data,Central Puerto S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.09,,4.25
2024-06-30,9.07,$2.37,3.82
2024-03-31,9.16,$2.59,3.54
2023-12-31,9.03,$2.92,3.09
2023-09-30,5.7,$2.19,2.6
2023-06-30,6.78,$2.41,2.81
2023-03-31,5.3,$2.18,2.43
2022-12-31,5.81,$2.68,2.17
2022-09-30,4.19,$2.35,1.78
2022-06-30,2.93,$2.32,1.26
2022-03-31,3.84,$1.93,1.99
2021-12-31,2.98,$1.70,1.76
2021-09-30,2.95,$1.33,2.22
2021-06-30,2.44,$0.77,3.17
2021-03-31,2.15,$1.06,2.03
2020-12-31,2.57,$0.69,3.72
2020-09-30,2.13,$-0.00,0.0
2020-06-30,2.42,$-0.08,0.0
2020-03-31,2.14,$-0.87,0.0
2019-12-31,4.63,$-0.76,0.0
2019-09-30,2.73,$-0.94,0.0
2019-06-30,8.58,$-1.67,0.0
2019-03-31,8.5,$-0.77,0.0
2018-12-31,8.51,$-1.31,0.0
