Onto Innovation Price to Free Cash Flow Ratio Historical Data,Onto Innovation Price to Free Cash Flow Ratio Historical Data,Onto Innovation Price to Free Cash Flow Ratio Historical Data,Onto Innovation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,209.67,,55.8
2024-06-30,219.56,$3.76,58.43
2024-03-31,181.08,$3.24,55.94
2023-12-31,152.9,$3.09,49.54
2023-09-30,127.52,$2.65,48.04
2023-06-30,116.47,$2.81,41.42
2023-03-31,87.88,$2.38,36.98
2022-12-31,68.09,$2.38,28.64
2022-09-30,64.05,$2.52,25.42
2022-06-30,69.74,$2.91,23.98
2022-03-31,86.89,$3.19,27.21
2021-12-31,101.23,$3.28,30.84
2021-09-30,72.25,$2.96,24.38
2021-06-30,73.04,$2.51,29.13
2021-03-31,65.71,$2.86,22.99
2020-12-31,47.55,$2.06,23.03
2020-09-30,29.78,$0.97,30.58
2020-06-30,34.04,$1.00,34.09
2020-03-31,29.67,$0.65,45.62
2019-12-31,36.54,$0.38,96.67
2019-09-30,32.62,$-1.33,0.0
2019-06-30,34.71,$-0.91,0.0
2019-03-31,30.88,$-0.29,0.0
2018-12-31,27.33,$1.06,25.69
2018-09-30,37.52,$4.87,7.71
2018-06-30,35.41,$4.09,8.67
2018-03-31,26.9,$3.21,8.38
2017-12-31,24.92,$2.09,11.94
2017-09-30,28.8,$0.87,33.23
2017-06-30,25.29,$1.49,17.0
2017-03-31,30.46,$1.78,17.12
2016-12-31,25.06,$1.66,15.12
2016-09-30,22.34,$1.16,19.18
2016-06-30,20.79,$0.76,27.53
2016-03-31,15.84,$0.25,64.1
2015-12-31,15.14,$-0.01,0.0
2015-09-30,12.14,$0.28,42.78
2015-06-30,16.12,$-0.26,0.0
2015-03-31,16.82,$-0.25,0.0
2014-12-31,16.82,$-0.27,0.0
2014-09-30,15.1,$-0.54,0.0
2014-06-30,18.25,$0.12,148.01
2014-03-31,17.97,$-1.43,0.0
2013-12-31,19.05,$-0.73,0.0
2013-09-30,16.12,$-0.30,0.0
2013-06-30,14.67,$-0.66,0.0
2012-12-31,14.42,$0.80,18.08
2012-09-30,13.81,$1.95,7.06
2012-06-30,15.36,$1.15,13.41
2012-03-31,18.51,$1.40,13.19
2011-12-31,18.42,$2.17,8.51
2013-03-31,14.43,$1.01,14.3
2011-09-30,14.5,$1.50,9.65
2011-06-30,18.99,$1.53,12.4
2011-03-31,18.09,$1.31,13.79
2010-12-31,12.83,$1.09,11.79
2010-09-30,15.05,$1.20,12.56
2010-06-30,10.09,$0.94,10.74
2010-03-31,9.48,$0.21,46.22
2009-12-31,11.33,$-0.35,0.0
