Infinera Price to Free Cash Flow Ratio Historical Data,Infinera Price to Free Cash Flow Ratio Historical Data,Infinera Price to Free Cash Flow Ratio Historical Data,Infinera Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.72,,0.0
2024-06-30,6.09,$-0.18,0.0
2024-03-31,6.03,$0.10,62.88
2023-12-31,4.75,$-0.06,0.0
2023-09-30,4.18,$-0.35,0.0
2023-06-30,4.83,$-0.12,0.0
2023-03-31,7.76,$-0.47,0.0
2022-12-31,6.74,$-0.39,0.0
2022-09-30,4.84,$-0.38,0.0
2022-06-30,5.36,$-0.52,0.0
2022-03-31,8.67,$-0.10,0.0
2021-12-31,9.59,$-0.06,0.0
2021-09-30,8.32,$0.18,46.12
2021-06-30,10.2,$0.06,178.95
2021-03-31,9.63,$-0.22,0.0
2020-12-31,10.48,$-0.80,0.0
2020-09-30,6.16,$-1.09,0.0
2020-06-30,5.92,$-1.14,0.0
2020-03-31,5.3,$-1.30,0.0
2019-12-31,7.94,$-1.10,0.0
2019-09-30,5.45,$-1.54,0.0
2019-06-30,2.91,$-1.44,0.0
2019-03-31,4.34,$-1.08,0.0
2018-12-31,3.99,$-0.87,0.0
2018-09-30,7.3,$-0.42,0.0
2018-06-30,9.93,$-0.46,0.0
2018-03-31,10.86,$-0.61,0.0
2017-12-31,6.33,$-0.54,0.0
2017-09-30,8.87,$-0.59,0.0
2017-06-30,10.67,$-0.40,0.0
2017-03-31,10.23,$-0.11,0.0
2016-12-31,8.49,$-0.03,0.0
2016-09-30,9.03,$0.15,58.33
2016-06-30,11.28,$0.32,35.13
2016-03-31,16.06,$0.54,29.75
2015-12-31,18.12,$0.64,28.46
2015-09-30,19.55,$0.63,30.9
2015-06-30,20.98,$0.64,32.91
2015-03-31,19.67,$0.36,54.01
2014-12-31,14.72,$0.10,147.35
2014-09-30,10.67,$0.18,60.52
2014-06-30,9.2,$0.11,83.56
2014-03-31,9.08,$0.18,51.5
2013-12-31,9.78,$0.12,81.36
2013-09-30,11.32,$0.01,0.0
2013-06-30,10.67,$-0.35,0.0
2013-03-31,7.0,$-0.73,0.0
2012-12-31,5.81,$-0.68,0.0
2012-09-30,5.48,$-0.92,0.0
2012-06-30,6.84,$-0.66,0.0
2012-03-31,8.12,$-0.46,0.0
2011-12-31,6.28,$-0.39,0.0
2011-09-30,7.72,$-0.16,0.0
2011-06-30,6.91,$-0.11,0.0
2011-03-31,8.39,$0.02,458.47
2010-12-31,10.33,$0.10,100.78
2010-09-30,11.67,$0.01,0.0
2010-06-30,6.43,$-0.14,0.0
2010-03-31,8.52,$-0.43,0.0
2009-12-31,8.87,$-0.50,0.0
