Ameresco Price to Free Cash Flow Ratio Historical Data,Ameresco Price to Free Cash Flow Ratio Historical Data,Ameresco Price to Free Cash Flow Ratio Historical Data,Ameresco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.9,,24.63
2024-06-30,28.81,$1.25,22.96
2024-03-31,24.13,$-2.45,0.0
2023-12-31,31.67,$-1.42,0.0
2023-09-30,38.56,$-6.92,0.0
2023-06-30,48.63,$-3.86,0.0
2023-03-31,49.22,$-0.86,0.0
2022-12-31,57.14,$-6.45,0.0
2022-09-30,66.48,$-7.09,0.0
2022-06-30,45.56,$-9.71,0.0
2022-03-31,79.5,$-8.81,0.0
2021-12-31,81.44,$-3.39,0.0
2021-09-30,58.43,$-5.31,0.0
2021-06-30,62.72,$-2.46,0.0
2021-03-31,48.63,$-1.84,0.0
2020-12-31,52.24,$-2.14,0.0
2020-09-30,33.4,$-3.33,0.0
2020-06-30,27.78,$-3.44,0.0
2020-03-31,17.03,$-4.08,0.0
2019-12-31,17.5,$-4.25,0.0
2019-09-30,16.07,$-3.14,0.0
2019-06-30,14.73,$-2.30,0.0
2019-03-31,16.18,$-1.64,0.0
2018-12-31,14.1,$-1.22,0.0
2018-09-30,13.65,$-1.75,0.0
2018-06-30,12.0,$-3.15,0.0
2018-03-31,13.0,$-3.14,0.0
2017-12-31,8.6,$-3.03,0.0
2017-09-30,7.8,$-2.13,0.0
2017-06-30,7.7,$-1.45,0.0
2017-03-31,6.55,$-1.57,0.0
2016-12-31,5.5,$-1.19,0.0
2016-09-30,5.26,$-1.45,0.0
2016-06-30,4.37,$-1.17,0.0
2016-03-31,4.77,$-0.92,0.0
2015-12-31,6.25,$-1.07,0.0
2015-09-30,5.88,$-0.42,0.0
2015-06-30,7.65,$-0.90,0.0
2015-03-31,7.4,$-0.54,0.0
2014-12-31,7.0,$-0.01,0.0
2014-09-30,6.85,$-0.61,0.0
2014-06-30,7.03,$-0.35,0.0
2014-03-31,7.56,$-2.11,0.0
2013-12-31,9.66,$-2.18,0.0
2013-09-30,10.02,$-1.82,0.0
2013-06-30,9.01,$-1.58,0.0
2012-12-31,9.81,$0.81,12.15
2012-09-30,11.81,$-0.91,0.0
2012-06-30,11.93,$-1.71,0.0
2012-03-31,13.55,$-1.57,0.0
2011-12-31,13.72,$-2.24,0.0
2013-03-31,7.4,$-1.08,0.0
2011-09-30,10.16,$0.31,33.17
2011-06-30,14.18,$-0.12,0.0
