"USA Compression Partners, LP Price to Free Cash Flow Ratio Historical Data","USA Compression Partners, LP Price to Free Cash Flow Ratio Historical Data","USA Compression Partners, LP Price to Free Cash Flow Ratio Historical Data","USA Compression Partners, LP Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.52,,83.5
2024-06-30,23.21,$0.27,86.07
2024-03-31,25.55,$0.05,471.34
2023-12-31,21.41,$0.38,55.71
2023-09-30,21.92,$0.66,33.26
2023-06-30,17.67,$0.70,25.34
2023-03-31,18.45,$1.19,15.53
2022-12-31,16.62,$1.33,12.5
2022-09-30,14.39,$1.61,8.94
2022-06-30,13.4,$1.89,7.11
2022-03-31,13.73,$2.12,6.47
2021-12-31,13.17,$2.31,5.69
2021-09-30,12.13,$2.53,4.79
2021-06-30,11.68,$2.39,4.89
2021-03-31,10.49,$2.21,4.75
2020-12-31,9.01,$1.93,4.67
2020-09-30,6.33,$1.61,3.94
2020-06-30,6.57,$1.71,3.83
2020-03-31,3.2,$1.52,2.11
2019-12-31,9.94,$1.57,6.32
2019-09-30,9.19,$1.23,7.49
2019-06-30,9.19,$0.81,11.37
2019-03-31,7.83,$-0.28,0.0
2018-12-31,6.29,$-0.41,0.0
2018-09-30,8.0,$-0.63,0.0
2018-06-30,7.9,$-0.50,0.0
2018-03-31,7.72,$-0.04,0.0
2017-12-31,7.33,0,0.0
2017-09-30,7.17,$-0.88,0.0
2017-06-30,6.8,$-0.62,0.0
2017-03-31,6.81,$-0.06,0.0
2016-12-31,6.78,0,0.0
2016-09-30,7.16,$0.78,9.21
2016-06-30,5.4,$0.14,39.27
2016-03-31,4.17,$-1.00,0.0
2015-12-31,3.89,$-3.36,0.0
2015-09-30,4.73,$-5.29,0.0
2015-06-30,6.1,$-5.70,0.0
2015-03-31,6.38,$-6.83,0.0
2014-12-31,5.02,$-6.60,0.0
2014-09-30,7.19,$-5.26,0.0
2014-06-30,7.45,$-5.62,0.0
2014-03-31,7.47,$-4.31,0.0
2013-12-31,7.5,$-2.77,0.0
