Ladder Capital Corp Price to Free Cash Flow Ratio Historical Data,Ladder Capital Corp Price to Free Cash Flow Ratio Historical Data,Ladder Capital Corp Price to Free Cash Flow Ratio Historical Data,Ladder Capital Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.19,,6.45
2024-06-30,11.07,$1.73,6.38
2024-03-31,10.7,$0.46,23.43
2023-12-31,10.83,$1.52,7.13
2023-09-30,9.47,$3.94,2.4
2023-06-30,9.8,$2.22,4.42
2023-03-31,8.35,$3.76,2.22
2022-12-31,8.66,$3.26,2.66
2022-09-30,7.55,$-0.57,0.0
2022-06-30,8.66,$1.54,5.64
2022-03-31,9.55,$2.37,4.04
2021-12-31,9.49,$1.97,4.82
2021-09-30,8.6,$3.23,2.66
2021-06-30,8.83,$2.86,3.09
2021-03-31,8.87,$1.81,4.9
2020-12-31,7.23,$1.47,4.91
2020-09-30,5.16,$-13.05,0.0
2020-06-30,5.72,$-14.53,0.0
2020-03-31,3.28,$-13.83,0.0
2019-12-31,12.17,$-13.70,0.0
2019-09-30,11.43,$3.01,3.79
2019-06-30,10.78,$2.08,5.18
2019-03-31,10.81,$2.14,5.06
2018-12-31,9.63,$2.32,4.14
2018-09-30,10.21,$4.22,2.42
2018-06-30,9.24,$1.46,6.34
2018-03-31,8.74,$0.34,25.82
2017-12-31,7.74,$-1.83,0.0
2017-09-30,7.65,$-4.82,0.0
2017-06-30,7.27,$0.92,7.89
2017-03-31,7.67,$-2.48,0.0
2016-12-31,7.13,$3.14,2.27
2016-09-30,6.66,$-3.34,0.0
2016-06-30,6.01,$-0.84,0.0
2016-03-31,6.01,$-0.28,0.0
2015-12-31,5.85,$-2.81,0.0
2015-09-30,5.98,$-0.45,0.0
2015-06-30,7.12,$-5.87,0.0
2015-03-31,7.39,$-1.59,0.0
2014-12-31,7.83,$0.74,10.55
