JOYY Price to Free Cash Flow Ratio Historical Data,JOYY Price to Free Cash Flow Ratio Historical Data,JOYY Price to Free Cash Flow Ratio Historical Data,JOYY Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.07,,11.1
2024-06-30,30.09,$2.98,10.1
2024-03-31,30.75,$2.98,10.33
2023-12-31,39.7,$2.98,13.33
2023-09-30,38.11,$3.10,12.3
2023-06-30,30.56,$3.10,9.86
2023-03-31,29.97,$3.10,9.67
2022-12-31,30.37,$3.10,9.8
2022-09-30,24.62,$1.83,13.46
2022-06-30,27.74,$1.83,15.17
2022-03-31,33.13,$1.83,18.12
2021-12-31,40.98,$1.83,22.41
2021-09-30,48.96,$4.31,11.37
2021-06-30,58.45,$4.31,13.57
2021-03-31,82.01,$4.31,19.04
2020-12-31,69.98,$4.31,16.25
2020-09-30,70.16,$6.36,11.03
2020-06-30,76.73,$6.36,12.07
2020-03-31,46.15,$4.29,10.75
2019-12-31,45.74,$6.36,7.19
2019-09-30,48.72,$9.29,5.25
2019-06-30,60.38,$9.29,6.5
2019-03-31,72.79,$11.35,6.41
2018-12-31,51.87,$9.29,5.58
2018-09-30,64.92,$8.19,7.93
2018-06-30,87.05,$8.19,10.63
2018-03-31,91.15,$8.19,11.14
2017-12-31,97.96,$8.19,11.97
2017-09-30,75.19,$5.34,14.09
2017-06-30,50.28,$5.34,9.42
2017-03-31,39.95,$6.13,6.52
2016-12-31,34.16,$5.34,6.4
2016-09-30,46.17,0,0.0
2016-06-30,29.35,0,0.0
2015-12-31,54.13,$-0.79,0.0
2015-09-30,47.35,$3.29,14.38
2015-06-30,60.24,$3.29,18.29
2015-03-31,47.27,$3.29,14.35
2014-12-31,54.02,$3.29,16.4
2014-09-30,64.89,$2.31,28.11
2014-06-30,65.42,$2.31,28.34
2014-03-31,66.16,$2.31,28.66
2013-12-31,43.57,$1.85,23.52
2013-06-30,23.25,$0.91,25.68
2013-03-31,14.64,$0.91,16.17
