Progyny Price to Free Cash Flow Ratio Historical Data,Progyny Price to Free Cash Flow Ratio Historical Data,Progyny Price to Free Cash Flow Ratio Historical Data,Progyny Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.68,,9.7
2024-06-30,28.61,$1.72,16.63
2024-03-31,38.15,$1.89,20.2
2023-12-31,37.18,$1.84,20.21
2023-09-30,34.02,$1.98,17.21
2023-06-30,39.34,$1.65,23.87
2023-03-31,32.12,$1.09,29.49
2022-12-31,31.15,$0.77,40.35
2022-09-30,37.06,$0.35,107.17
2022-06-30,29.05,$0.38,75.85
2022-03-31,51.4,$0.12,443.1
2021-12-31,50.35,$0.24,211.38
2021-09-30,56.0,$0.22,253.05
2021-06-30,59.0,$0.12,497.05
2021-03-31,44.51,$0.24,184.15
2020-12-31,42.39,$0.36,119.41
2020-09-30,29.43,$0.07,399.32
