TriNet Price to Free Cash Flow Ratio Historical Data,TriNet Price to Free Cash Flow Ratio Historical Data,TriNet Price to Free Cash Flow Ratio Historical Data,TriNet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,96.93,,43.95
2024-06-30,99.49,$2.21,45.11
2024-03-31,131.82,$7.07,18.65
2023-12-31,118.1,$8.25,14.32
2023-09-30,115.67,$5.65,20.48
2023-06-30,94.31,$6.88,13.7
2023-03-31,80.05,$3.26,24.53
2022-12-31,67.33,$7.91,8.52
2022-09-30,70.72,$3.92,18.06
2022-06-30,77.08,$7.32,10.53
2022-03-31,97.67,$8.42,11.6
2021-12-31,94.6,$2.66,35.61
2021-09-30,93.92,$7.81,12.02
2021-06-30,71.98,$6.59,10.93
2021-03-31,77.42,$8.99,8.61
2020-12-31,80.04,$7.50,10.67
2020-09-30,58.91,$9.10,6.47
2020-06-30,60.52,$7.09,8.53
2020-03-31,37.4,$4.63,8.08
2019-12-31,56.22,$6.63,8.47
2019-09-30,61.76,$1.52,40.67
2019-06-30,67.33,$3.17,21.27
2019-03-31,59.32,$3.37,17.6
2018-12-31,41.66,$-2.04,0.0
2018-09-30,55.93,$3.37,16.61
2018-06-30,55.55,$3.31,16.8
2018-03-31,46.0,$2.84,16.18
2017-12-31,44.03,$8.00,5.5
2017-09-30,33.39,$-0.44,0.0
2017-06-30,32.51,$-0.85,0.0
2017-03-31,28.7,$-0.23,0.0
2016-12-31,25.44,$2.67,9.54
2016-09-30,21.48,$1.31,16.45
2016-06-30,20.65,$1.70,12.18
2016-03-31,14.25,$2.16,6.61
2015-12-31,19.22,$1.82,10.57
2015-09-30,16.68,$2.34,7.14
2015-06-30,25.17,$2.08,12.09
2015-03-31,34.98,$1.03,33.92
2014-12-31,31.06,$2.21,14.09
