Gates Industrial Price to Free Cash Flow Ratio Historical Data,Gates Industrial Price to Free Cash Flow Ratio Historical Data,Gates Industrial Price to Free Cash Flow Ratio Historical Data,Gates Industrial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.34,,16.28
2024-06-30,15.81,$1.13,14.04
2024-03-31,17.71,$1.25,14.2
2023-12-31,13.42,$1.53,8.79
2023-09-30,11.61,$1.74,6.67
2023-06-30,13.48,$1.63,8.25
2023-03-31,13.89,$1.21,11.47
2022-12-31,11.41,$0.65,17.44
2022-09-30,9.76,$0.36,27.13
2022-06-30,10.81,$0.38,28.69
2022-03-31,15.06,$0.75,20.01
2021-12-31,15.91,$1.02,15.52
2021-09-30,16.27,$1.08,15.06
2021-06-30,18.07,$0.93,19.39
2021-03-31,15.99,$0.65,24.54
2020-12-31,12.76,$0.86,14.86
2020-09-30,11.12,$0.93,12.0
2020-06-30,10.28,$1.02,10.04
2020-03-31,7.38,$1.25,5.91
2019-12-31,13.76,$0.95,14.5
2019-09-30,10.07,$0.83,12.09
2019-06-30,11.41,$0.64,17.93
2019-03-31,14.34,$0.56,25.57
2018-12-31,13.24,$0.51,26.2
