UMH Properties Price to Free Cash Flow Ratio Historical Data,UMH Properties Price to Free Cash Flow Ratio Historical Data,UMH Properties Price to Free Cash Flow Ratio Historical Data,UMH Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.91,,0.0
2024-06-30,15.81,$-0.35,0.0
2024-03-31,15.85,$-0.39,0.0
2023-12-31,14.74,$-0.67,0.0
2023-09-30,13.3,$-1.99,0.0
2023-06-30,14.96,$-2.99,0.0
2023-03-31,13.67,$-3.35,0.0
2022-12-31,14.71,$-3.27,0.0
2022-09-30,14.59,$-2.01,0.0
2022-06-30,15.8,$-1.16,0.0
2022-03-31,21.77,$-0.84,0.0
2021-12-31,23.98,$-0.78,0.0
2021-09-30,19.93,$-0.95,0.0
2021-06-30,18.84,$-1.05,0.0
2021-03-31,16.41,$-1.03,0.0
2020-12-31,12.53,$-0.87,0.0
2020-09-30,11.31,$-0.90,0.0
2020-06-30,10.66,$-1.80,0.0
2020-03-31,8.81,$-2.06,0.0
2019-12-31,12.62,$-2.04,0.0
2019-09-30,11.16,$-2.71,0.0
2019-06-30,9.84,$-1.81,0.0
2019-03-31,11.01,$-2.17,0.0
2018-12-31,9.14,$-2.15,0.0
2018-09-30,11.9,$-2.02,0.0
2018-06-30,11.55,$-1.77,0.0
2018-03-31,9.96,$-1.37,0.0
2017-12-31,10.91,$-2.58,0.0
2017-09-30,11.25,$-2.07,0.0
2017-06-30,12.19,$-2.42,0.0
2017-03-31,10.76,$-2.41,0.0
2016-12-31,10.52,$-1.28,0.0
2016-09-30,8.21,$-2.52,0.0
2016-06-30,7.64,$-3.80,0.0
2016-03-31,6.61,$-4.11,0.0
2015-12-31,6.62,$-4.03,0.0
2015-09-30,5.97,$-2.68,0.0
2015-06-30,6.17,$-1.64,0.0
2015-03-31,6.23,$-1.15,0.0
2014-12-31,5.8,$-1.46,0.0
2014-09-30,5.66,$-1.61,0.0
2014-06-30,5.87,$-1.17,0.0
2014-03-31,5.62,$-1.37,0.0
2013-12-31,5.31,$-5.10,0.0
2013-09-30,5.5,$-5.14,0.0
2013-06-30,5.59,$-7.50,0.0
2013-03-31,5.5,$-7.15,0.0
2012-12-31,5.44,$-3.21,0.0
2012-09-30,6.19,$-3.03,0.0
2012-06-30,5.46,$-0.54,0.0
2012-03-31,5.49,$-1.32,0.0
2011-12-31,4.58,$-1.07,0.0
2011-09-30,4.39,$-2.68,0.0
2011-06-30,5.07,$-2.80,0.0
2011-03-31,4.63,$-3.05,0.0
2010-12-31,4.67,$-3.01,0.0
2010-09-30,4.84,$-1.08,0.0
2010-06-30,4.46,$-0.78,0.0
2010-03-31,3.55,$0.61,5.79
2009-12-31,3.61,$0.63,5.69
