Genesis Energy Price to Free Cash Flow Ratio Historical Data,Genesis Energy Price to Free Cash Flow Ratio Historical Data,Genesis Energy Price to Free Cash Flow Ratio Historical Data,Genesis Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.23,,0.0
2024-06-30,14.16,$-1.73,0.0
2024-03-31,10.87,$-0.92,0.0
2023-12-31,11.18,$-0.80,0.0
2023-09-30,9.83,$-0.31,0.0
2023-06-30,8.95,$-0.48,0.0
2023-03-31,10.41,$-0.47,0.0
2022-12-31,9.32,$-0.40,0.0
2022-09-30,8.29,$0.01,618.54
2022-06-30,7.12,$-0.18,0.0
2022-03-31,10.26,$-0.22,0.0
2021-12-31,9.25,$0.30,30.52
2021-09-30,8.5,$0.04,228.54
2021-06-30,9.76,$1.38,7.06
2021-03-31,7.73,$1.32,5.86
2020-12-31,5.02,$1.43,3.5
2020-09-30,3.51,$1.57,2.23
2020-06-30,5.52,$1.43,3.86
2020-03-31,2.92,$1.53,1.92
2019-12-31,14.83,$1.80,8.25
2019-09-30,15.14,$4.37,3.46
2019-06-30,15.08,$4.83,3.12
2019-03-31,15.65,$3.50,4.47
2018-12-31,12.09,$3.60,3.35
2018-09-30,15.19,$0.85,17.97
2018-06-30,13.68,$0.33,41.89
2017-12-31,13.32,$1.31,10.2
2017-09-30,15.37,$-1.21,0.0
2017-06-30,18.08,$-0.84,0.0
2017-03-31,18.06,$-1.41,0.0
2016-12-31,19.69,$-2.00,0.0
2018-03-31,12.01,$-0.97,0.0
2016-09-30,20.36,$-1.58,0.0
2016-06-30,20.18,$-2.76,0.0
2016-03-31,16.39,$-2.67,0.0
2015-12-31,18.5,$-2.23,0.0
2015-09-30,19.01,$-1.69,0.0
2015-03-31,22.7,$-2.21,0.0
2014-12-31,20.21,$-1.69,0.0
2014-09-30,24.77,$-2.17,0.0
2014-06-30,26.1,$-2.88,0.0
2014-03-31,25.0,$-2.26,0.0
2013-12-31,24.01,$-2.32,0.0
2015-06-30,21.46,$-1.69,0.0
2013-09-30,22.63,$-0.85,0.0
2013-06-30,23.19,$0.18,129.26
2013-03-31,21.35,$0.83,25.68
2012-12-31,15.62,$0.56,28.06
2012-09-30,14.5,$0.47,30.59
2012-06-30,12.34,$0.79,15.72
2012-03-31,12.86,$0.29,45.14
2011-12-31,11.55,$0.54,21.36
2011-09-30,9.81,$1.69,5.81
2011-06-30,10.86,$1.83,5.92
2011-03-31,11.12,$1.56,7.14
2010-12-31,10.22,$1.95,5.23
2010-09-30,8.97,$1.51,5.92
2010-06-30,7.17,$1.85,3.89
2010-03-31,7.17,$2.17,3.31
2009-12-31,6.82,$1.54,4.44
