Wheels Up Experience Price to Free Cash Flow Ratio Historical Data,Wheels Up Experience Price to Free Cash Flow Ratio Historical Data,Wheels Up Experience Price to Free Cash Flow Ratio Historical Data,Wheels Up Experience Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.08,,0.25
2024-06-30,1.89,$8.31,0.23
2023-12-31,3.43,$-4.83,0.0
2023-09-30,2.07,$-28.85,0.0
2023-06-30,1.17,$-29.61,0.0
2023-03-31,0.63,$-27.57,0.0
2022-12-31,1.03,$-19.85,0.0
2024-03-31,2.87,$-15.84,0.0
2022-09-30,1.15,$-4.68,0.0
2022-06-30,1.95,$-6.18,0.0
