Middlesex Water Price to Free Cash Flow Ratio Historical Data,Middlesex Water Price to Free Cash Flow Ratio Historical Data,Middlesex Water Price to Free Cash Flow Ratio Historical Data,Middlesex Water Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,65.93,,0.0
2024-06-30,51.98,$-1.50,0.0
2024-03-31,51.93,$-2.05,0.0
2023-12-31,64.52,$-2.10,0.0
2023-09-30,64.82,$-2.32,0.0
2023-06-30,78.61,$-2.18,0.0
2023-03-31,75.81,$-2.02,0.0
2022-12-31,76.06,$-1.69,0.0
2022-09-30,74.39,$-1.44,0.0
2022-06-30,84.22,$-1.52,0.0
2022-03-31,100.7,$-2.07,0.0
2021-12-31,114.84,$-2.63,0.0
2021-09-30,97.84,$-3.49,0.0
2021-06-30,77.61,$-3.39,0.0
2021-03-31,74.78,$-3.18,0.0
2020-12-31,68.35,$-2.97,0.0
2020-09-30,58.39,$-2.80,0.0
2020-06-30,62.88,$-3.11,0.0
2020-03-31,56.03,$-3.39,0.0
2019-12-31,59.03,$-3.15,0.0
2019-09-30,60.06,$-2.84,0.0
2019-06-30,54.78,$-2.48,0.0
2019-03-31,51.57,$-1.80,0.0
2018-12-31,48.92,$-1.59,0.0
2018-09-30,44.18,$-1.06,0.0
2018-06-30,38.3,$-0.95,0.0
2018-03-31,33.15,$-0.55,0.0
2017-12-31,35.83,$-0.45,0.0
2017-09-30,35.08,$-0.20,0.0
2017-06-30,35.18,$0.13,278.95
2017-03-31,32.62,$-0.33,0.0
2016-12-31,37.68,$-0.02,0.0
2016-09-30,30.74,$0.74,41.36
2016-06-30,37.65,$0.89,42.27
2016-03-31,26.63,$1.50,17.74
2015-12-31,22.75,$1.56,14.61
2015-09-30,20.27,$0.81,25.1
2015-06-30,19.03,$0.75,25.38
2015-03-31,19.03,$0.76,25.13
2014-12-31,19.11,$0.61,31.09
2014-09-30,16.11,$0.85,18.88
2014-06-30,17.25,$0.81,21.34
2014-03-31,17.6,$0.75,23.36
2013-12-31,16.73,$0.85,19.64
2013-09-30,16.94,$0.70,24.12
2013-06-30,15.64,$0.67,23.4
2013-03-31,15.18,$0.81,18.67
2012-12-31,15.07,$0.50,30.15
2012-09-30,14.61,$0.20,74.34
2012-06-30,14.35,$0.09,157.48
2012-03-31,14.12,$-0.20,0.0
2011-12-31,13.81,$-0.05,0.0
2011-09-30,12.51,$0.10,120.86
2011-06-30,13.48,$0.09,149.61
2011-03-31,13.07,$-0.11,0.0
2010-12-31,13.06,$-0.27,0.0
2010-09-30,11.86,$-0.11,0.0
2010-06-30,11.04,$-0.08,0.0
2010-03-31,11.77,$-0.07,0.0
2009-12-31,12.03,$-0.12,0.0
