Xencor Price to Free Cash Flow Ratio Historical Data,Xencor Price to Free Cash Flow Ratio Historical Data,Xencor Price to Free Cash Flow Ratio Historical Data,Xencor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.36,,43.54
2024-06-30,18.93,$0.49,38.59
2024-03-31,22.13,$0.89,24.88
2023-12-31,21.23,$1.10,19.27
2023-09-30,20.15,$-2.45,0.0
2023-06-30,24.97,$-2.23,0.0
2023-03-31,27.89,$-0.99,0.0
2022-12-31,26.04,$-0.23,0.0
2022-09-30,25.98,$1.31,19.82
2022-06-30,27.37,$0.83,33.1
2022-03-31,26.68,$-2.03,0.0
2021-12-31,40.12,$-0.50,0.0
2021-09-30,32.66,$-1.22,0.0
2021-06-30,34.49,$-0.63,0.0
2021-03-31,43.06,$1.19,36.19
2020-12-31,43.63,$-0.27,0.0
2020-09-30,38.79,$-0.94,0.0
2020-06-30,32.39,$-0.96,0.0
2020-03-31,29.88,$1.43,20.82
2019-12-31,34.39,$0.98,35.26
2019-09-30,33.73,$0.95,35.6
2019-06-30,40.93,$0.97,42.4
2019-03-31,31.06,$-1.39,0.0
2018-12-31,36.16,$-1.61,0.0
2018-09-30,38.97,$-1.33,0.0
2018-06-30,37.01,$-1.31,0.0
2018-03-31,29.98,$-1.15,0.0
2017-12-31,21.92,$-0.83,0.0
2017-09-30,22.92,$-1.10,0.0
2017-06-30,21.11,$2.26,9.33
2017-03-31,23.92,$2.33,10.25
2016-12-31,26.32,$2.21,11.9
2016-09-30,24.49,$2.58,9.48
2016-06-30,18.99,$0.31,62.12
2016-03-31,13.42,$0.35,38.1
2015-12-31,14.62,$0.63,23.05
2015-09-30,12.23,$0.52,23.62
2015-06-30,21.97,$-0.60,0.0
2015-03-31,15.32,$-0.43,0.0
2014-12-31,16.04,$-0.54,0.0
2014-09-30,9.31,$-0.51,0.0
