FormFactor Price to Free Cash Flow Ratio Historical Data,FormFactor Price to Free Cash Flow Ratio Historical Data,FormFactor Price to Free Cash Flow Ratio Historical Data,FormFactor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.15,,73.69
2024-06-30,60.53,$0.60,101.03
2024-03-31,45.63,$0.45,100.33
2023-12-31,41.71,$0.11,380.22
2023-09-30,34.94,$0.04,835.89
2023-06-30,34.22,$0.07,520.85
2023-03-31,31.85,$0.40,80.47
2022-12-31,22.23,$0.85,26.13
2022-09-30,25.05,$1.23,20.42
2022-06-30,38.73,$1.20,32.33
2022-03-31,42.03,$1.04,40.26
2021-12-31,45.72,$0.92,49.65
2021-09-30,37.33,$1.01,36.89
2021-06-30,36.46,$0.83,44.08
2021-03-31,45.11,$1.32,34.08
2020-12-31,43.02,$1.44,29.97
2020-09-30,24.93,$1.45,17.23
2020-06-30,29.33,$1.77,16.6
2020-03-31,20.09,$1.45,13.84
2019-12-31,25.97,$1.30,20.03
2019-09-30,18.65,$1.09,17.06
2019-06-30,15.67,$0.94,16.71
2019-03-31,16.09,$0.77,20.95
2018-12-31,14.09,$0.65,21.68
2018-09-30,13.75,$0.75,18.26
2018-06-30,13.3,$0.74,17.91
2018-03-31,13.65,$0.80,17.04
2017-12-31,15.65,$0.92,16.94
2017-09-30,16.85,$0.79,21.22
2017-06-30,12.4,$0.68,18.22
2017-03-31,11.85,$0.36,32.99
2016-12-31,11.2,$0.09,122.14
2016-09-30,10.85,$0.01,0.0
2016-06-30,8.99,$0.08,110.44
2016-03-31,7.27,$0.32,22.45
2015-12-31,9.0,$0.50,18.15
2015-09-30,6.78,$0.61,11.06
2015-06-30,9.2,$0.59,15.53
2015-03-31,8.87,$0.49,18.09
2014-12-31,8.6,$0.23,36.69
2014-09-30,7.17,$-0.05,0.0
2014-06-30,8.32,$-0.13,0.0
2014-03-31,6.39,$-0.19,0.0
2013-12-31,6.01,$-0.26,0.0
2013-09-30,6.86,$-0.43,0.0
2013-06-30,6.75,$-0.50,0.0
2013-03-31,4.7,$-0.57,0.0
2012-12-31,4.56,$-0.68,0.0
2012-09-30,5.59,$-0.64,0.0
2012-06-30,6.47,$-0.67,0.0
2012-03-31,5.58,$-0.80,0.0
2011-12-31,5.06,$-0.73,0.0
2011-09-30,6.23,$-0.99,0.0
2011-06-30,9.06,$-1.46,0.0
2011-03-31,10.29,$-1.99,0.0
2010-12-31,8.88,$-2.06,0.0
2010-09-30,8.6,$-1.72,0.0
2010-06-30,10.8,$-1.71,0.0
2010-03-31,17.76,$-1.68,0.0
2009-12-31,21.77,$-1.45,0.0
