Kohl's Price to Free Cash Flow Ratio Historical Data,Kohl's Price to Free Cash Flow Ratio Historical Data,Kohl's Price to Free Cash Flow Ratio Historical Data,Kohl's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.03,,3.04
2024-07-31,21.11,$6.59,3.21
2024-04-30,22.82,$7.02,3.25
2024-01-31,24.08,$5.56,4.33
2023-10-31,20.64,$4.39,4.71
2023-07-31,25.54,$3.39,7.54
2023-04-30,19.33,$-1.58,0.0
2023-01-31,27.78,$-4.18,0.0
2022-10-31,25.26,$-7.39,0.0
2022-07-31,24.15,$-6.80,0.0
2022-04-30,47.45,$4.83,9.83
2022-01-31,48.5,$11.49,4.22
2021-10-31,39.23,$11.75,3.34
2021-07-31,40.88,$15.63,2.62
2021-04-30,46.99,$9.92,4.74
2021-01-31,35.15,$7.80,4.51
2020-10-31,16.99,$8.19,2.07
2020-07-31,15.19,$5.53,2.75
2020-04-30,14.73,$5.00,2.95
2020-01-31,32.75,$5.08,6.45
2019-10-31,38.73,$5.81,6.66
2019-07-31,40.17,$6.39,6.29
2019-04-30,52.3,$7.17,7.29
2019-01-31,50.04,$9.32,5.37
2018-10-31,54.64,$9.97,5.48
2018-07-31,52.89,$10.63,4.98
2018-04-30,44.14,$8.58,5.14
2018-01-31,45.59,$6.07,7.52
2017-10-31,29.06,$5.72,5.08
2017-07-31,28.39,$4.79,5.93
2017-04-30,26.41,$6.93,3.81
2017-01-31,26.58,$7.74,3.44
2016-10-31,28.93,$8.78,3.3
2016-07-31,27.19,$7.01,3.88
2016-04-30,28.58,$-2.69,0.0
2016-01-31,31.77,$2.25,14.09
2015-10-31,29.17,$-2.49,0.0
2015-07-31,38.45,$-0.14,0.0
2015-01-31,36.95,$6.58,5.62
2014-10-31,33.32,$7.82,4.26
2014-07-31,32.68,$7.38,4.43
2014-04-30,33.2,$6.02,5.52
2014-01-31,30.47,$7.40,4.12
2015-04-30,44.6,$2.15,20.73
2013-10-31,33.96,$4.28,7.94
2013-07-31,31.47,$3.54,8.89
2013-04-30,27.77,$1.81,15.36
2013-01-31,27.11,$2.03,13.39
2012-10-31,30.98,$3.45,8.98
2012-07-31,28.73,$3.67,7.83
2012-04-30,28.76,$4.95,5.81
2012-01-31,26.21,$4.47,5.86
2011-10-31,30.06,$4.00,7.52
2011-07-31,30.85,$3.81,8.09
2011-04-30,29.58,$3.29,8.98
2011-01-31,28.36,$3.10,9.14
2010-10-31,28.61,$3.02,9.48
2010-07-31,26.63,$3.82,6.97
2010-04-30,30.71,$4.90,6.27
2010-01-31,28.13,$5.26,5.34
2009-10-31,31.96,$4.87,6.57
