Quanta Services Price to Free Cash Flow Ratio Historical Data,Quanta Services Price to Free Cash Flow Ratio Historical Data,Quanta Services Price to Free Cash Flow Ratio Historical Data,Quanta Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,275.13,,25.39
2024-06-30,254.0,$10.83,23.44
2024-03-31,259.62,$9.56,27.17
2023-12-31,215.65,$8.13,26.51
2023-09-30,186.86,$5.42,34.47
2023-06-30,196.15,$5.06,38.73
2023-03-31,166.23,$5.08,32.72
2022-12-31,142.15,$5.18,27.43
2022-09-30,127.01,$2.18,58.21
2022-06-30,124.89,$0.47,266.07
2022-03-31,131.0,$1.24,105.3
2021-12-31,114.06,$1.69,67.33
2021-09-30,113.22,$2.28,49.65
2021-06-30,90.05,$3.02,29.86
2021-03-31,87.36,$5.36,16.3
2020-12-31,71.51,$6.14,11.65
2020-09-30,52.44,$8.72,6.02
2020-06-30,38.88,$8.46,4.59
2020-03-31,31.36,$4.08,7.68
2019-12-31,40.23,$2.01,20.06
2019-09-30,37.31,$-1.41,0.0
2019-06-30,37.66,$-1.80,0.0
2019-03-31,37.14,$-0.11,0.0
2018-12-31,29.62,$0.63,47.1
2018-09-30,32.85,$0.93,35.39
2018-06-30,32.86,$1.85,17.77
2018-03-31,33.8,$1.03,32.76
2017-12-31,38.48,$0.96,40.16
2017-09-30,36.77,$0.91,40.19
2017-06-30,32.39,$-0.44,0.0
2017-03-31,36.52,$-0.03,0.0
2016-12-31,34.29,$1.27,26.95
2016-09-30,27.54,$1.49,18.43
2016-06-30,22.75,$2.59,8.79
2016-03-31,22.2,$2.71,8.18
2015-12-31,19.93,$2.28,8.74
2015-09-30,23.82,$2.20,10.84
2015-06-30,28.36,$1.66,17.07
2015-03-31,28.07,$1.23,22.88
2014-12-31,27.94,$0.07,409.6
2014-09-30,35.71,$-0.27,0.0
2014-06-30,34.03,$-0.04,0.0
2014-03-31,36.31,$0.23,161.23
2013-12-31,31.05,$0.76,40.86
2013-09-30,27.07,$0.74,36.56
2013-06-30,26.04,$0.04,599.91
2013-03-31,28.12,$0.30,94.72
2012-12-31,26.85,$-0.14,0.0
2012-09-30,24.3,$-0.31,0.0
2012-06-30,23.68,$0.23,105.08
2012-03-31,20.57,$-0.08,0.0
2011-12-31,21.19,$0.24,88.72
2011-09-30,18.49,$0.86,21.56
2011-06-30,19.88,$0.47,41.99
2011-03-31,22.07,$0.47,47.05
2010-12-31,19.6,$0.46,42.41
2010-09-30,18.77,$-0.23,0.0
2010-06-30,20.32,$0.49,41.78
2010-03-31,18.85,$0.55,34.39
2009-12-31,20.51,$1.10,18.68
