Berkshire Hills Bancorp Price to Free Cash Flow Ratio Historical Data,Berkshire Hills Bancorp Price to Free Cash Flow Ratio Historical Data,Berkshire Hills Bancorp Price to Free Cash Flow Ratio Historical Data,Berkshire Hills Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.34,,9.56
2024-06-30,22.65,$2.96,7.64
2024-03-31,22.58,$2.81,8.03
2023-12-31,24.26,$3.57,6.79
2023-09-30,19.43,$2.83,6.85
2023-06-30,19.92,$3.74,5.33
2023-03-31,23.88,$3.02,7.92
2022-12-31,28.32,$2.38,11.9
2022-09-30,25.7,$2.08,12.36
2022-06-30,23.23,$-6.45,0.0
2022-03-31,27.04,$-5.58,0.0
2021-12-31,26.43,$-5.44,0.0
2021-09-30,24.97,$-4.94,0.0
2021-06-30,25.25,$2.18,11.6
2021-03-31,20.47,$4.18,4.9
2020-12-31,15.62,$4.39,3.56
2020-09-30,9.16,$5.88,1.56
2020-06-30,9.86,$6.09,1.62
2020-03-31,12.99,$3.16,4.11
2019-12-31,28.51,$2.04,13.96
2019-09-30,25.21,$0.79,31.78
2019-06-30,26.81,$2.63,10.2
2019-03-31,23.27,$2.38,9.77
2018-12-31,22.86,$4.61,4.96
2018-09-30,34.27,$4.38,7.83
2018-06-30,34.01,$2.81,12.12
2018-03-31,31.61,$2.19,14.44
2017-12-31,30.31,$1.68,18.0
2017-09-30,31.9,$2.09,15.27
2017-06-30,28.77,$2.22,12.94
2017-03-31,29.34,$3.86,7.6
2016-12-31,29.82,$2.86,10.41
2016-09-30,22.27,$3.02,7.38
2016-06-30,21.47,$3.75,5.72
2016-03-31,21.29,$2.96,7.19
2015-12-31,22.87,$2.84,8.04
2015-09-30,21.5,$2.93,7.33
2015-06-30,22.09,$1.07,20.6
2015-03-31,21.34,$1.55,13.75
2014-12-31,20.39,$2.00,10.2
2014-09-30,17.83,$1.38,12.93
2014-06-30,17.5,$4.04,4.33
2014-03-31,19.35,$4.46,4.34
2013-12-31,20.24,$4.58,4.42
2013-09-30,18.51,$5.59,3.31
2013-06-30,20.32,$1.06,19.23
2013-03-31,18.57,$0.71,26.0
2012-12-31,17.22,$0.45,38.37
2012-09-30,16.39,$-0.79,0.0
2012-06-30,15.64,$1.83,8.57
2012-03-31,16.17,$1.73,9.34
2011-12-31,15.54,$1.83,8.48
2011-09-30,12.82,$2.42,5.3
2011-06-30,15.43,$2.06,7.49
2011-03-31,14.25,$2.11,6.74
2010-12-31,15.01,$2.57,5.85
2010-09-30,12.77,$0.78,16.43
2010-06-30,13.02,$1.53,8.51
2010-03-31,12.15,$1.42,8.59
2009-12-31,13.59,$0.63,21.43
