Apogee Enterprises Price to Free Cash Flow Ratio Historical Data,Apogee Enterprises Price to Free Cash Flow Ratio Historical Data,Apogee Enterprises Price to Free Cash Flow Ratio Historical Data,Apogee Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,78.99,,10.71
2024-08-31,66.78,$7.37,9.06
2024-05-31,64.7,$6.60,9.81
2024-02-29,56.75,$7.30,7.77
2023-11-30,44.54,$5.86,7.61
2023-08-31,49.55,$6.47,7.65
2023-05-31,36.06,$3.54,10.2
2023-02-28,44.44,$4.28,10.37
2022-11-30,46.61,$4.20,11.1
2022-05-31,39.75,$2.83,14.06
2022-02-28,42.84,$4.32,9.92
2021-11-30,39.06,$8.65,4.52
2021-08-31,40.45,$2.34,17.3
2021-05-31,35.59,$2.77,12.83
2021-02-28,34.83,$4.77,7.3
2022-08-31,39.25,$-0.35,0.0
2020-11-30,24.3,$6.65,3.65
2020-08-31,19.25,$5.15,3.74
2020-05-31,18.83,$3.65,5.16
2020-02-29,27.23,$2.29,11.9
2019-11-30,34.28,$0.45,75.66
2019-08-31,32.95,$0.70,47.21
2019-05-31,32.21,$0.37,87.68
2019-02-28,31.58,$1.71,18.46
2018-11-30,32.09,$3.42,9.4
2018-08-31,43.15,$2.98,14.5
2018-05-31,38.15,$3.38,11.28
2018-02-28,37.56,$2.63,14.3
2017-11-30,43.41,$1.91,22.68
2017-08-31,37.81,$2.01,18.85
2017-05-31,45.98,$2.44,18.88
2017-02-28,49.21,$2.00,24.65
2016-11-30,40.95,$1.98,20.68
2016-08-31,41.42,$1.99,20.86
2016-05-31,38.6,$1.92,20.13
2016-02-29,33.98,$2.96,11.49
2015-11-30,42.6,$2.91,14.66
2015-08-31,44.15,$2.85,15.48
2015-05-31,45.39,$2.18,20.84
2015-02-28,38.65,$1.52,25.47
2014-11-30,38.04,$0.11,336.63
2014-08-31,30.63,$0.34,90.71
2014-05-31,25.18,$0.25,102.1
2014-02-28,28.54,$0.38,75.73
2013-11-30,29.77,$1.07,27.71
2013-08-31,23.12,$0.58,39.89
2013-05-31,22.03,$0.73,30.17
2013-02-28,21.23,$0.24,87.66
2012-11-30,18.8,$0.98,19.17
2012-08-31,12.9,$1.00,12.87
2012-05-31,12.0,$0.72,16.75
2012-02-29,10.72,$0.90,11.92
2011-11-30,8.51,$0.54,15.69
2011-08-31,7.48,$0.25,30.1
2011-05-31,10.48,$0.13,78.85
2011-02-28,10.75,$-0.61,0.0
2010-11-30,8.82,$-0.40,0.0
2010-08-31,7.0,$1.02,6.84
2010-05-31,10.52,$1.90,5.52
2010-02-28,10.94,$3.17,3.46
2009-11-30,10.42,$4.57,2.28
