Western Union Price to Free Cash Flow Ratio Historical Data,Western Union Price to Free Cash Flow Ratio Historical Data,Western Union Price to Free Cash Flow Ratio Historical Data,Western Union Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.93,,9.48
2024-06-30,11.98,$1.26,9.52
2024-03-31,13.44,$1.69,7.96
2023-12-31,11.26,$1.81,6.24
2023-09-30,12.22,$1.19,10.26
2023-06-30,10.68,$1.06,10.12
2023-03-31,9.95,$0.99,10.02
2022-12-31,12.02,$1.15,10.49
2022-09-30,11.58,$1.94,5.97
2022-06-30,13.89,$2.24,6.2
2022-03-31,15.58,$2.36,6.59
2021-12-31,14.64,$2.29,6.38
2021-09-30,16.39,$2.09,7.83
2021-06-30,18.41,$1.85,9.95
2021-03-31,19.58,$2.05,9.57
2020-12-31,17.26,$1.90,9.07
2020-09-30,16.69,$1.81,9.21
2020-06-30,16.67,$1.87,8.92
2020-03-31,13.84,$1.68,8.26
2019-12-31,20.22,$1.93,10.46
2019-09-30,17.37,$1.95,8.91
2019-06-30,14.78,$1.71,8.64
2019-03-31,13.59,$1.66,8.2
2018-12-31,12.42,$1.39,8.92
2018-09-30,13.73,$1.47,9.35
2018-06-30,14.5,$2.03,7.15
2018-03-31,13.59,$1.46,9.32
2017-12-31,13.31,$1.37,9.73
2017-09-30,13.32,$1.12,11.92
2017-06-30,13.1,$0.81,16.17
2017-03-31,13.86,$1.63,8.49
2016-12-31,14.67,$1.86,7.87
2016-09-30,13.96,$1.91,7.32
2016-06-30,12.76,$1.88,6.8
2016-03-31,12.72,$1.81,7.02
2015-12-31,11.71,$1.79,6.52
2015-09-30,11.9,$1.82,6.53
2015-06-30,13.07,$1.82,7.19
2015-03-31,13.28,$1.80,7.39
2014-12-31,11.34,$1.75,6.48
2014-09-30,10.08,$1.75,5.76
2014-06-30,10.82,$1.72,6.27
2014-03-31,10.13,$1.66,6.09
2013-12-31,10.6,$1.73,6.14
2013-09-30,11.38,$1.77,6.43
2013-06-30,10.36,$1.88,5.51
2013-03-31,9.04,$1.85,4.87
2012-12-31,8.11,$1.80,4.51
2012-09-30,10.76,$1.73,6.21
2012-06-30,9.89,$1.66,5.97
2012-03-31,10.27,$1.70,6.04
2011-12-31,10.6,$1.75,6.06
2011-09-30,8.83,$1.72,5.14
2011-06-30,11.51,$1.68,6.86
2011-03-31,11.89,$1.64,7.25
2010-12-31,10.59,$1.37,7.74
2010-09-30,10.04,$1.32,7.6
2010-06-30,8.44,$1.26,6.69
2010-03-31,9.57,$1.24,7.7
2009-12-31,10.6,$1.64,6.48
