Grupo Aval Acciones Y Valores S.A Price to Free Cash Flow Ratio Historical Data,Grupo Aval Acciones Y Valores S.A Price to Free Cash Flow Ratio Historical Data,Grupo Aval Acciones Y Valores S.A Price to Free Cash Flow Ratio Historical Data,Grupo Aval Acciones Y Valores S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.04,,2.2
2023-12-31,2.33,$0.93,2.51
2023-09-30,2.27,$0.37,6.05
2023-06-30,2.13,$1.84,1.16
2023-03-31,2.09,$-0.11,0.0
2022-12-31,2.26,$-0.11,0.0
2022-09-30,2.2,$1.44,1.53
2022-06-30,3.17,$1.44,2.2
2022-03-31,3.81,$1.44,2.65
2021-12-31,4.25,$1.44,2.95
2021-09-30,4.74,$2.55,1.86
2021-06-30,4.62,$2.55,1.81
2021-03-31,4.96,$2.55,1.95
2020-12-31,5.44,$2.55,2.14
2020-09-30,3.59,$1.50,2.4
2020-06-30,3.34,$1.36,2.45
2020-03-31,3.28,$1.36,2.41
2019-12-31,6.48,$1.36,4.76
2019-09-30,5.48,$2.14,2.56
2019-06-30,5.81,$2.28,2.55
2019-03-31,5.68,$2.28,2.49
2018-12-31,4.3,$2.28,1.89
2018-09-30,5.66,$4.52,1.25
2015-03-31,5.57,$5.03,1.11
2014-12-31,6.37,$5.03,1.27
2014-09-30,8.19,$5.03,1.63
2016-12-31,5.37,$0.51,10.44
2016-09-30,5.88,$1.36,4.33
2016-06-30,5.32,$2.77,1.92
2016-03-31,5.02,$2.77,1.81
2015-12-31,4.2,$2.77,1.51
2017-12-31,6.01,$1.41,4.25
2018-06-30,5.98,0,0.0
2018-03-31,5.92,0,0.0
2017-09-30,6.27,0,0.0
2017-06-30,5.72,0,0.0
