Newmark Price to Free Cash Flow Ratio Historical Data,Newmark Price to Free Cash Flow Ratio Historical Data,Newmark Price to Free Cash Flow Ratio Historical Data,Newmark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.9,,23.16
2024-06-30,10.21,$0.64,15.86
2024-03-31,11.03,$0.16,68.49
2023-12-31,10.87,$-1.82,0.0
2023-09-30,6.36,$1.56,4.07
2023-06-30,6.12,$-0.48,0.0
2023-03-31,6.93,$0.26,26.94
2022-12-31,7.77,$4.63,1.68
2022-09-30,7.83,$2.22,3.53
2022-06-30,9.37,$-1.90,0.0
2022-03-31,15.39,$0.54,28.57
2021-12-31,18.06,$-0.35,0.0
2021-09-30,13.81,$-1.00,0.0
2021-06-30,11.58,$3.83,3.03
2021-03-31,9.64,$-0.86,0.0
2020-12-31,7.02,$-4.44,0.0
2020-09-30,4.15,$-1.73,0.0
2020-06-30,4.66,$-1.27,0.0
2020-03-31,4.07,$2.51,1.62
2019-12-31,12.75,$5.15,2.48
2019-09-30,8.52,$3.13,2.72
2019-06-30,8.35,$-0.32,0.0
2019-03-31,7.66,$0.37,20.94
2018-12-31,7.3,$-2.16,0.0
2018-09-30,10.09,$2.74,3.68
