EMCOR Price to Free Cash Flow Ratio Historical Data,EMCOR Price to Free Cash Flow Ratio Historical Data,EMCOR Price to Free Cash Flow Ratio Historical Data,EMCOR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,453.75,,21.09
2024-06-30,364.64,$21.52,16.95
2024-03-31,349.52,$21.99,15.9
2023-12-31,214.84,$17.55,12.24
2023-09-30,209.62,$13.99,14.99
2023-06-30,183.93,$13.96,13.18
2023-03-31,161.66,$9.06,17.84
2022-12-31,147.12,$9.09,16.18
2022-09-30,114.57,$7.80,14.7
2022-06-30,102.02,$4.76,21.43
2022-03-31,111.48,$4.98,22.38
2021-12-31,125.95,$5.25,23.99
2021-09-30,113.96,$6.09,18.71
2021-06-30,121.54,$8.76,13.88
2021-03-31,110.53,$13.61,8.12
2020-12-31,90.01,$13.75,6.55
2020-09-30,66.57,$12.33,5.4
2020-06-30,64.94,$11.23,5.78
2020-03-31,60.13,$5.15,11.67
2019-12-31,84.54,$5.53,15.28
2019-09-30,84.29,$5.79,14.57
2019-06-30,86.15,$3.61,23.86
2019-03-31,71.39,$3.79,18.84
2018-12-31,58.23,$3.91,14.88
2018-09-30,73.19,$6.51,11.24
2018-06-30,74.16,$4.81,15.42
2018-03-31,75.79,$6.53,11.6
2017-12-31,79.42,$8.81,9.01
2017-03-31,60.94,$4.18,14.57
2016-12-31,68.42,$3.67,18.63
2016-09-30,57.56,$1.76,32.7
2016-06-30,47.49,$3.01,15.8
2016-03-31,46.78,$3.27,14.29
2015-12-31,46.15,$4.08,11.32
2017-09-30,67.33,$3.61,18.67
2015-09-30,42.44,$3.16,13.43
2015-06-30,45.74,$1.64,27.91
2015-03-31,44.42,$2.65,16.74
2014-12-31,42.44,$3.86,11.0
2014-09-30,38.04,$1.43,26.6
2017-06-30,63.37,$2.52,25.19
2014-06-30,42.32,$3.08,13.76
2014-03-31,44.39,$-0.95,0.0
2013-12-31,40.19,$1.50,26.86
2013-09-30,37.0,$1.09,33.96
2013-06-30,38.38,$-0.37,0.0
2012-12-31,32.62,$2.21,14.77
2012-09-30,26.61,$3.49,7.61
2012-06-30,25.89,$1.35,19.22
2012-03-31,25.75,$1.81,14.23
2011-12-31,24.86,$2.93,8.49
2013-03-31,39.96,$-0.91,0.0
2011-09-30,18.81,$2.00,9.41
2011-06-30,27.12,$1.91,14.17
2011-03-31,28.65,$1.32,21.69
2010-12-31,26.81,$0.77,34.77
2010-09-30,22.75,$0.58,39.41
2010-06-30,21.44,$1.94,11.03
2010-03-31,22.79,$3.82,5.96
2009-12-31,24.89,$5.01,4.97
