Hillenbrand Inc Price to Free Cash Flow Ratio Historical Data,Hillenbrand Inc Price to Free Cash Flow Ratio Historical Data,Hillenbrand Inc Price to Free Cash Flow Ratio Historical Data,Hillenbrand Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.4,,52.92
2024-06-30,39.69,$0.54,73.95
2024-03-31,49.61,$1.14,43.64
2023-12-31,46.98,$1.75,26.86
2023-09-30,41.33,$1.98,20.92
2023-06-30,49.85,$2.08,23.95
2023-03-31,46.01,$0.67,68.73
2022-12-31,41.1,$-0.09,0.0
2022-09-30,35.21,$0.37,95.21
2022-06-30,39.06,$-1.54,0.0
2022-03-31,41.9,$1.08,38.81
2021-12-31,49.08,$3.81,12.89
2021-09-30,40.08,$4.44,9.04
2021-06-30,41.22,$8.64,4.77
2021-03-31,44.4,$7.30,6.08
2020-12-31,36.88,$5.07,7.27
2020-09-30,26.13,$4.63,5.64
2020-06-30,24.76,$2.41,10.25
2020-03-31,17.34,$2.40,7.21
2019-12-31,29.85,$2.29,13.05
2019-09-30,27.5,$2.43,11.33
2019-06-30,35.0,$2.85,12.27
2019-03-31,36.54,$3.33,10.99
2018-12-31,33.21,$3.70,8.98
2018-09-30,45.55,$3.53,12.92
2018-06-30,40.9,$4.36,9.38
2018-03-31,39.64,$4.20,9.45
2017-12-31,38.43,$4.76,8.08
2017-09-30,33.25,$3.59,9.25
2017-06-30,30.72,$2.13,14.43
2017-03-31,30.34,$2.39,12.67
2016-12-31,32.27,$2.14,15.07
2016-09-30,26.48,$3.43,7.71
2016-06-30,24.97,$3.06,8.17
2016-03-31,24.74,$2.46,10.06
2015-12-31,24.3,$2.40,10.13
2015-09-30,21.18,$1.20,17.63
2015-06-30,24.81,$1.57,15.84
2015-03-31,24.79,$1.43,17.39
2014-12-31,27.52,$1.19,23.07
2014-09-30,24.48,$2.56,9.55
2014-06-30,25.69,$2.93,8.77
2014-03-31,25.31,$2.54,9.98
2013-12-31,22.88,$1.96,11.69
2013-09-30,21.14,$1.57,13.47
2013-06-30,18.18,$0.87,20.84
2013-03-31,19.23,$1.20,16.01
2012-12-31,17.06,$1.76,9.71
2012-09-30,13.6,$1.88,7.24
2012-06-30,13.61,$1.92,7.08
2012-03-31,16.81,$2.81,5.98
2011-12-31,16.21,$2.68,6.05
2011-09-30,13.24,$2.70,4.9
2011-06-30,16.85,$2.23,7.54
2011-03-31,15.19,$1.04,14.57
2010-12-31,14.57,$1.50,9.73
2010-09-30,14.92,$1.65,9.06
2010-06-30,14.71,$2.29,6.41
2010-03-31,14.99,$2.40,6.26
2009-12-31,12.73,$2.38,5.36
