TriMas Price to Free Cash Flow Ratio Historical Data,TriMas Price to Free Cash Flow Ratio Historical Data,TriMas Price to Free Cash Flow Ratio Historical Data,TriMas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.1,,50.72
2024-06-30,25.52,$0.55,46.06
2024-03-31,26.64,$0.53,50.33
2023-12-31,25.2,$0.81,30.93
2023-09-30,24.6,$0.83,29.8
2023-06-30,27.27,$0.52,52.48
2023-03-31,27.59,$0.65,42.55
2022-12-31,27.44,$0.63,43.8
2022-09-30,24.75,$1.30,18.99
2022-06-30,27.3,$1.64,16.67
2022-03-31,31.6,$1.77,17.85
2021-12-31,36.39,$2.06,17.66
2021-09-30,31.79,$1.69,18.78
2021-06-30,29.79,$4.25,7.01
2021-03-31,29.78,$2.15,13.84
2020-12-31,31.11,$1.99,15.6
2020-09-30,22.4,$1.49,14.99
2020-06-30,23.53,$-1.07,0.0
2020-03-31,22.69,$1.44,15.76
2019-12-31,30.85,$1.01,30.63
2019-09-30,30.11,$1.76,17.11
2019-06-30,30.42,$1.80,16.86
2019-03-31,29.69,$1.57,18.95
2018-12-31,26.81,$2.29,11.69
2018-09-30,29.86,$2.28,13.07
2018-06-30,28.88,$2.00,14.4
2018-03-31,25.79,$1.92,13.46
2017-12-31,26.28,$1.88,13.99
2017-09-30,26.52,$1.62,16.41
2017-06-30,20.48,$1.40,14.65
2017-03-31,20.38,$0.58,35.05
2016-12-31,23.08,$1.17,19.66
2016-09-30,18.28,$0.67,27.42
2016-06-30,17.68,$1.07,16.59
2015-12-31,18.32,$0.75,24.4
2015-09-30,16.06,$-6.11,0.0
2015-06-30,23.3,$-6.37,0.0
2015-03-31,24.23,$-6.04,0.0
2014-12-31,24.63,$-4.45,0.0
2016-03-31,17.21,$0.83,20.8
2014-09-30,19.15,$2.28,8.39
2014-06-30,30.01,$1.94,15.49
2014-03-31,26.13,$1.95,13.41
2013-12-31,31.39,$1.40,22.37
2013-09-30,29.36,$1.40,21.02
2013-06-30,29.34,$1.17,25.15
2013-03-31,25.55,$0.86,29.59
2012-12-31,22.04,$0.71,30.87
2012-09-30,18.98,$0.94,20.2
2012-06-30,15.82,$1.54,10.25
2012-03-31,17.62,$1.34,13.16
2011-12-31,14.13,$1.82,7.78
2011-09-30,11.69,$0.58,20.28
2011-06-30,19.48,$0.44,43.85
2011-03-31,16.92,$1.35,12.5
2010-12-31,16.1,$2.12,7.59
2010-09-30,11.69,$2.27,5.15
2010-06-30,8.9,$2.47,3.6
2010-03-31,5.11,$1.90,2.69
2009-12-31,5.33,$2.05,2.6
