Pathward Financial Price to Free Cash Flow Ratio Historical Data,Pathward Financial Price to Free Cash Flow Ratio Historical Data,Pathward Financial Price to Free Cash Flow Ratio Historical Data,Pathward Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,75.14,,4.55
2024-06-30,56.53,$16.51,3.42
2024-03-31,50.39,$12.67,3.98
2023-12-31,52.79,$10.30,5.13
2023-09-30,45.92,$10.94,4.2
2023-06-30,46.15,$6.12,7.54
2023-03-31,41.26,$5.71,7.22
2022-12-31,42.76,$5.23,8.18
2022-09-30,32.7,$8.92,3.67
2022-06-30,38.31,$13.57,2.82
2022-03-31,54.34,$15.65,3.47
2021-12-31,58.97,$17.87,3.3
2021-09-30,51.83,$17.91,2.89
2021-06-30,49.95,$19.07,2.62
2021-03-31,44.66,$17.76,2.51
2020-12-31,36.0,$14.60,2.47
2020-09-30,18.9,$13.07,1.45
2020-06-30,17.82,$8.65,2.06
2020-03-31,21.25,$9.05,2.35
2019-12-31,35.65,$7.12,5.0
2019-09-30,31.79,$4.67,6.81
2019-06-30,27.31,$4.61,5.92
2019-03-31,19.12,$3.77,5.07
2018-12-31,18.79,$5.11,3.68
2018-09-30,26.64,$4.19,6.36
2018-06-30,31.34,$4.99,6.28
2018-03-31,35.09,$5.15,6.82
2017-12-31,29.74,$1.51,19.66
2017-09-30,25.13,$2.32,10.82
2017-06-30,28.47,$1.23,23.1
2017-03-31,28.27,$2.59,10.92
2016-09-30,19.3,$2.81,6.88
2016-06-30,16.2,$4.31,3.75
2016-03-31,14.46,$3.77,3.83
2015-12-31,14.52,$2.04,7.11
2015-09-30,13.16,$3.60,3.66
2016-12-31,32.82,$1.66,19.77
2015-06-30,13.48,$1.88,7.19
2015-03-31,12.44,$2.83,4.4
2014-12-31,10.93,$1.80,6.07
2014-09-30,10.96,$1.33,8.27
2014-06-30,12.39,$1.68,7.38
2014-03-31,13.85,$1.75,7.93
2013-12-31,12.42,$-0.74,0.0
2013-09-30,11.66,$-1.67,0.0
2013-06-30,8.03,$3.91,2.06
2013-03-31,8.07,$3.90,2.07
2012-12-31,6.9,$6.24,1.11
2012-09-30,7.3,$7.27,1.0
2012-06-30,5.93,$1.95,3.05
2012-03-31,6.25,$1.96,3.19
2011-12-31,4.92,$2.30,2.14
2011-09-30,5.53,$2.15,2.57
2011-06-30,5.54,$1.85,3.0
2011-03-31,4.76,$1.72,2.77
2010-12-31,3.95,$3.89,1.01
2010-09-30,9.08,$3.69,2.46
2010-06-30,8.48,$3.04,2.79
2010-03-31,7.11,$2.35,3.03
2009-12-31,5.85,$2.37,2.47
