Viper Energy Price to Free Cash Flow Ratio Historical Data,Viper Energy Price to Free Cash Flow Ratio Historical Data,Viper Energy Price to Free Cash Flow Ratio Historical Data,Viper Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.91,,0.0
2024-06-30,37.53,$-2.30,0.0
2024-03-31,38.46,$-2.45,0.0
2023-12-31,31.38,$-2.63,0.0
2023-09-30,27.36,$8.27,3.31
2023-06-30,26.01,$9.06,2.87
2023-03-31,26.81,$8.61,3.12
2022-12-31,29.95,$9.88,3.03
2022-09-30,26.61,$4.49,5.93
2022-06-30,24.11,$2.69,8.95
2022-03-31,26.1,$1.72,15.2
2021-12-31,18.51,$0.38,48.8
2021-09-30,18.67,$4.35,4.29
2021-06-30,15.81,$3.75,4.22
2021-03-31,12.06,$2.87,4.19
2020-12-31,9.54,$2.50,3.81
2020-09-30,6.11,$7.47,0.82
2020-06-30,8.39,$2.95,2.84
2020-03-31,5.31,$3.46,1.53
2019-12-31,19.36,$3.83,5.05
2019-09-30,21.31,$-2.79,0.0
2019-06-30,23.37,$4.55,5.14
2019-03-31,24.85,$4.19,5.93
2018-12-31,19.23,$0.54,35.63
2018-09-30,30.56,$2.33,13.14
2018-03-31,17.85,$-1.81,0.0
2017-12-31,16.08,$-1.96,0.0
2017-09-30,12.64,$-1.00,0.0
2017-06-30,10.44,$-2.28,0.0
2017-03-31,11.76,$-1.15,0.0
2016-12-31,10.31,$-1.23,0.0
2016-03-31,10.16,$0.82,12.43
2015-12-31,8.56,$0.80,10.69
2015-09-30,8.66,$3.09,2.81
2015-06-30,11.74,$0.43,27.53
2015-03-31,10.78,$0.40,26.81
2014-12-31,10.56,$0.28,37.66
2018-06-30,22.8,$-2.03,0.0
2016-09-30,10.26,$0.55,18.73
