Republic Bancorp Price to Free Cash Flow Ratio Historical Data,Republic Bancorp Price to Free Cash Flow Ratio Historical Data,Republic Bancorp Price to Free Cash Flow Ratio Historical Data,Republic Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,67.75,,12.03
2024-06-30,53.28,$5.63,9.46
2024-03-31,50.26,$5.18,9.71
2023-12-31,53.91,$5.12,10.53
2023-09-30,42.75,$5.01,8.54
2023-06-30,40.9,$6.01,6.8
2023-03-31,40.5,$7.00,5.79
2022-12-31,38.71,$7.53,5.14
2022-09-30,35.93,$6.72,5.34
2022-06-30,44.89,$6.70,6.7
2022-03-31,41.49,$7.82,5.31
2021-12-31,46.59,$4.58,10.17
2021-09-30,46.15,$5.06,9.11
2021-06-30,41.77,$4.03,10.37
2021-03-31,39.84,$2.87,13.87
2020-12-31,32.23,$3.45,9.33
2020-09-30,24.97,$4.87,5.13
2020-06-30,28.74,$4.85,5.93
2020-03-31,28.76,$3.69,7.8
2019-12-31,40.4,$4.41,9.16
2019-09-30,37.3,$3.94,9.47
2019-06-30,42.46,$4.00,10.62
2019-03-31,37.95,$4.98,7.62
2018-12-31,32.66,$5.23,6.25
2018-09-30,38.64,$4.06,9.51
2018-06-30,37.79,$3.53,10.71
2018-03-31,31.77,$3.37,9.42
2017-12-31,31.35,$3.11,10.07
2017-09-30,31.89,$3.11,10.26
2017-06-30,29.1,$3.54,8.22
2017-03-31,27.86,$2.79,9.99
2016-12-31,31.84,$1.94,16.42
2016-09-30,24.89,$2.13,11.67
2016-06-30,21.97,$2.04,10.75
2016-03-31,20.38,$2.54,8.02
2015-12-31,20.68,$2.14,9.68
2015-09-30,19.07,$1.40,13.59
2015-06-30,19.8,$0.89,22.24
2015-03-31,18.91,$0.76,24.83
2014-12-31,18.76,$0.91,20.69
2014-09-30,17.84,$1.02,17.51
2014-06-30,17.72,$1.57,11.32
2014-03-31,16.75,$0.97,17.27
2013-12-31,18.05,$0.82,21.89
2013-09-30,20.12,$0.01,0.0
2013-06-30,15.9,$-2.09,0.0
2013-03-31,16.3,$-0.86,0.0
2012-12-31,15.1,$3.92,3.85
2012-09-30,14.76,$4.21,3.51
2012-06-30,14.86,$5.22,2.84
2012-03-31,15.85,$3.77,4.2
2011-12-31,15.08,$5.71,2.64
2011-09-30,11.58,$5.78,2.0
2011-06-30,12.9,$5.77,2.23
2011-03-31,12.53,$7.15,1.75
2010-12-31,15.16,$4.05,3.74
2010-09-30,13.4,$4.56,2.94
2010-06-30,14.11,$4.41,3.2
2010-03-31,11.79,$7.66,1.54
2009-12-31,12.8,$5.81,2.2
