Fresh Del Monte Produce Price to Free Cash Flow Ratio Historical Data,Fresh Del Monte Produce Price to Free Cash Flow Ratio Historical Data,Fresh Del Monte Produce Price to Free Cash Flow Ratio Historical Data,Fresh Del Monte Produce Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.05,,8.26
2024-06-30,21.65,$3.64,5.95
2024-03-31,25.41,$3.55,7.16
2023-12-31,25.48,$5.00,5.09
2023-09-30,24.88,$4.13,6.02
2023-06-30,24.57,$3.20,7.67
2023-03-31,28.56,$2.67,10.7
2022-12-31,24.72,$0.47,52.91
2022-09-30,21.82,$0.92,23.7
2022-06-30,27.58,$0.95,29.05
2022-03-31,24.06,$0.45,53.19
2021-12-31,25.48,$1.00,25.59
2021-09-30,29.59,$1.25,23.74
2021-06-30,30.06,$1.54,19.55
2021-03-31,26.1,$2.10,12.43
2020-12-31,21.87,$1.47,14.87
2020-09-30,20.73,$2.56,8.1
2020-06-30,22.22,$3.54,6.27
2020-03-31,24.87,$2.87,8.68
2019-12-31,31.39,$2.40,13.07
2019-09-30,30.53,$0.79,38.85
2019-06-30,24.07,$0.98,24.46
2019-03-31,24.14,$2.41,10.02
2018-12-31,25.25,$2.33,10.82
2018-09-30,30.13,$2.80,10.76
2018-06-30,39.45,$0.95,41.36
2018-03-31,39.93,$0.39,101.66
2017-12-31,41.94,$1.19,35.13
2017-09-30,39.87,$0.87,45.98
2017-06-30,44.52,$2.05,21.67
2017-03-31,51.65,$2.88,17.93
2016-12-31,52.73,$4.05,13.03
2016-09-30,51.97,$4.09,12.69
2016-06-30,47.11,$3.67,12.84
2016-03-31,36.32,$3.42,10.63
2015-12-31,33.46,$2.11,15.82
2015-09-30,33.91,$2.15,15.76
2015-06-30,33.07,$1.98,16.67
2015-03-31,33.18,$1.50,22.18
2014-12-31,28.5,$1.48,19.3
2014-09-30,27.0,$0.15,183.19
2014-06-30,25.84,$0.05,544.04
2014-03-31,23.15,$-0.48,0.0
2013-12-31,23.65,$-0.72,0.0
2013-09-30,24.68,$0.11,226.87
2013-06-30,23.09,$0.14,169.28
2013-03-31,22.23,$0.87,25.47
2012-12-31,21.61,$1.77,12.23
2012-09-30,20.92,$1.87,11.18
2012-06-30,19.1,$1.53,12.51
2012-03-31,18.51,$1.72,10.79
2011-12-31,20.18,$2.05,9.87
2011-09-30,18.65,$2.19,8.52
2011-06-30,21.34,$3.53,6.04
2011-03-31,20.86,$2.92,7.13
2010-12-31,19.89,$2.35,8.47
2010-09-30,17.26,$3.17,5.45
2010-06-30,16.1,$2.45,6.58
2010-03-31,16.11,$2.66,6.06
2009-12-31,17.58,$2.99,5.87
