John B Sanfilippo & Son Price to Free Cash Flow Ratio Historical Data,John B Sanfilippo & Son Price to Free Cash Flow Ratio Historical Data,John B Sanfilippo & Son Price to Free Cash Flow Ratio Historical Data,John B Sanfilippo & Son Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,97.04,,15.46
2024-06-30,95.16,$6.28,15.16
2024-03-31,102.71,$8.24,12.47
2023-12-31,99.92,$8.12,12.31
2023-09-30,95.81,$8.16,11.74
2023-06-30,111.53,$8.93,12.49
2023-03-31,91.0,$7.22,12.6
2022-12-31,76.35,$4.73,16.13
2022-09-30,70.27,$2.65,26.5
2022-06-30,65.17,$0.50,130.27
2022-03-31,75.02,$-0.26,0.0
2021-12-31,81.06,$3.36,24.11
2021-09-30,73.47,$5.62,13.07
2021-06-30,77.0,$6.91,11.15
2021-03-31,78.57,$7.42,10.59
2020-12-31,66.66,$4.50,14.83
2020-09-30,63.71,$3.80,16.79
2020-06-30,70.11,$4.21,16.64
2020-03-31,72.61,$5.39,13.47
2019-12-31,74.14,$6.70,11.07
2019-09-30,76.91,$6.67,11.53
2019-06-30,61.19,$5.95,10.29
2019-03-31,55.18,$5.20,10.62
2018-12-31,42.74,$3.52,12.15
2018-09-30,54.81,$3.78,14.51
2018-06-30,55.34,$4.62,11.97
2018-03-31,43.02,$5.14,8.38
2017-12-31,47.02,$3.27,14.4
2017-09-30,50.04,$2.13,23.49
2017-06-30,45.16,$3.66,12.32
2017-03-31,52.37,$4.67,11.22
2016-12-31,50.37,$5.13,9.81
2016-09-30,35.37,$6.93,5.1
2016-06-30,27.82,$6.55,4.25
2016-03-31,45.08,$4.20,10.73
2015-12-31,35.26,$3.65,9.66
2015-09-30,32.32,$0.90,36.12
2015-06-30,32.73,$-0.03,0.0
2015-03-31,27.18,$0.16,165.42
2014-12-31,28.69,$0.71,40.62
2014-09-30,19.68,$2.52,7.81
2014-06-30,16.1,$0.89,18.1
2014-03-31,14.0,$0.90,15.48
2013-12-31,15.01,$0.72,20.73
2013-09-30,13.28,$2.20,6.02
2013-06-30,11.54,$2.69,4.3
2013-03-31,11.44,$3.23,3.54
2012-12-31,10.41,$3.23,3.22
2012-09-30,7.08,$0.71,10.01
2012-06-30,9.71,$0.81,11.94
2012-03-31,6.78,$1.47,4.61
2011-12-31,4.1,$2.66,1.54
2011-09-30,4.3,$0.78,5.51
2011-06-30,4.6,$0.20,22.74
2011-03-31,6.36,$-3.83,0.0
2010-12-31,6.77,$-2.94,0.0
2010-09-30,7.18,$-1.56,0.0
2010-06-30,7.87,$0.09,89.14
2010-03-31,8.06,$3.20,2.52
2009-12-31,8.49,$6.48,1.31
