Prestige Consumer Healthcare Price to Free Cash Flow Ratio Historical Data,Prestige Consumer Healthcare Price to Free Cash Flow Ratio Historical Data,Prestige Consumer Healthcare Price to Free Cash Flow Ratio Historical Data,Prestige Consumer Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,72.3,,52.06
2024-06-30,68.85,$1.39,49.58
2024-03-31,72.56,$1.47,49.27
2023-12-31,61.22,$1.27,48.28
2023-09-30,57.19,$0.99,57.66
2023-03-31,62.63,$4.45,14.08
2022-12-31,62.6,$7.29,8.58
2022-09-30,49.83,$7.16,6.96
2022-06-30,58.8,$7.30,8.05
2022-03-31,52.94,$7.32,7.23
2023-06-30,59.43,$4.67,12.74
2021-12-31,60.65,$4.80,12.62
2021-09-30,56.11,$4.42,12.7
2021-06-30,52.1,$4.13,12.63
2021-03-31,44.08,$4.22,10.45
2020-12-31,34.87,$4.12,8.46
2020-09-30,36.42,$4.33,8.41
2020-06-30,37.56,$4.41,8.51
2020-03-31,36.68,$3.96,9.26
2019-12-31,40.5,$3.91,10.36
2019-09-30,34.69,$3.62,9.58
2019-06-30,31.68,$3.40,9.31
2019-03-31,29.91,$3.43,8.71
2018-12-31,30.88,$3.48,8.88
2018-09-30,37.89,$3.48,10.89
2018-06-30,37.91,$3.74,10.15
2018-03-31,33.31,$3.69,9.02
2017-12-31,43.86,$2.85,15.4
2017-09-30,49.47,$2.80,17.67
2017-06-30,52.16,$0.44,118.92
2017-03-31,54.88,$0.21,263.2
2016-12-31,51.46,$0.93,55.25
2016-09-30,47.68,$1.06,45.13
2016-03-31,52.73,$3.26,16.19
2015-12-31,50.85,$4.61,11.03
2015-09-30,44.6,$4.72,9.45
2015-06-30,45.67,$4.89,9.34
2015-03-31,42.36,$4.58,9.25
2016-06-30,54.72,$3.05,17.95
2014-12-31,34.29,$2.68,12.79
2014-09-30,31.97,$2.12,15.1
2014-06-30,33.47,$2.22,15.06
2014-03-31,26.91,$2.08,12.95
2013-12-31,35.36,$2.18,16.21
2013-09-30,29.75,$2.42,12.29
2013-06-30,28.78,$2.62,10.98
2013-03-31,25.37,$2.48,10.25
2012-12-31,19.78,$2.16,9.15
2012-09-30,16.75,$1.74,9.63
2012-06-30,15.62,$1.28,12.21
2012-03-31,17.26,$1.32,13.11
2011-12-31,11.13,$1.44,7.75
2011-09-30,8.94,$1.51,5.9
2011-06-30,12.68,$1.60,7.92
2011-03-31,11.36,$1.71,6.65
2010-12-31,11.8,$1.39,8.52
2010-09-30,9.77,$1.23,7.94
2010-06-30,6.99,$0.26,27.08
2010-03-31,8.89,$0.81,10.92
2009-12-31,7.76,$1.00,7.76
