Helix Energy Solutions Price to Free Cash Flow Ratio Historical Data,Helix Energy Solutions Price to Free Cash Flow Ratio Historical Data,Helix Energy Solutions Price to Free Cash Flow Ratio Historical Data,Helix Energy Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.44,,9.94
2024-06-30,11.94,$1.05,11.37
2024-03-31,10.84,$1.36,7.97
2023-12-31,10.28,$0.88,11.64
2023-09-30,11.17,$0.41,27.05
2023-06-30,7.38,$0.41,18.2
2023-03-31,7.74,$0.16,48.77
2022-12-31,7.38,$0.12,63.4
2022-09-30,3.86,$0.10,40.25
2022-06-30,3.1,$0.14,22.38
2022-03-31,4.78,$0.50,9.52
2021-12-31,3.12,$0.88,3.55
2021-09-30,3.88,$1.02,3.8
2021-06-30,5.71,$1.18,4.86
2021-03-31,5.05,$0.99,5.12
2020-12-31,4.2,$0.53,7.92
2020-09-30,2.41,$0.16,14.74
2020-06-30,3.47,$0.08,41.07
2020-03-31,1.64,$0.32,5.1
2019-12-31,9.63,$0.21,45.92
2019-09-30,8.06,$0.07,111.02
2019-06-30,8.63,$0.15,58.87
2019-03-31,7.91,$1.26,6.27
2018-12-31,5.41,$1.02,5.28
2018-09-30,9.88,$1.12,8.82
2018-06-30,8.33,$0.45,18.71
2017-12-31,7.54,$-1.17,0.0
2017-09-30,7.39,$-1.96,0.0
2017-06-30,5.64,$-1.68,0.0
2017-03-31,7.77,$-1.60,0.0
2016-12-31,8.82,$-1.57,0.0
2018-03-31,5.79,$-0.33,0.0
2016-09-30,8.13,$-0.07,0.0
2016-06-30,6.76,$0.09,77.17
2016-03-31,5.6,$-1.40,0.0
2015-12-31,5.26,$-1.82,0.0
2015-09-30,4.79,$-2.90,0.0
2015-06-30,12.63,$-2.31,0.0
2015-03-31,14.96,$-0.39,0.0
2014-12-31,21.7,$0.34,63.06
2014-09-30,22.06,$1.08,20.35
2014-06-30,26.31,$0.18,144.64
2014-03-31,22.98,$0.34,67.13
2013-12-31,23.18,$-0.58,0.0
2013-09-30,25.37,$-0.22,0.0
2013-06-30,23.04,$0.21,109.82
2013-03-31,22.88,$0.23,100.26
2012-12-31,20.64,$1.43,14.46
2012-09-30,18.27,$3.76,4.86
2012-06-30,16.41,$4.12,3.98
2012-03-31,17.8,$4.50,3.96
2011-12-31,15.8,$4.49,3.52
2011-09-30,13.1,$3.21,4.08
2011-06-30,16.56,$3.43,4.82
2011-03-31,17.2,$3.03,5.67
2010-12-31,12.14,$2.07,5.87
2010-09-30,11.14,$-0.69,0.0
2010-06-30,10.77,$-1.78,0.0
2010-03-31,13.03,$-0.80,0.0
2009-12-31,11.75,$0.17,68.91
