Kennametal Price to Free Cash Flow Ratio Historical Data,Kennametal Price to Free Cash Flow Ratio Historical Data,Kennametal Price to Free Cash Flow Ratio Historical Data,Kennametal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.15,,11.95
2024-06-30,23.35,$2.19,10.67
2024-03-31,24.55,$2.39,10.26
2023-12-31,25.18,$2.47,10.21
2023-09-30,24.08,$2.52,9.55
2023-06-30,27.28,$2.07,13.17
2023-03-31,26.31,$1.35,19.44
2022-12-31,22.79,$0.83,27.58
2022-09-30,19.34,$0.55,35.16
2022-06-30,21.66,$1.02,21.28
2022-03-31,26.48,$1.19,22.25
2021-12-31,33.04,$1.59,20.83
2021-09-30,31.33,$1.67,18.76
2021-06-30,32.7,$1.34,24.46
2021-03-31,36.21,$1.02,35.59
2020-12-31,32.65,$0.50,65.45
2020-09-30,25.92,$-0.03,0.0
2020-06-30,25.54,$-0.21,0.0
2020-03-31,16.43,$0.33,49.98
2019-12-31,32.33,$0.77,42.25
2019-09-30,26.78,$-0.80,0.0
2019-06-30,32.01,$0.54,59.47
2019-03-31,31.62,$0.39,80.26
2018-12-31,28.48,$0.46,61.85
2018-06-30,30.4,$1.46,20.85
2018-03-31,33.84,$2.07,16.35
2017-12-31,40.6,$0.80,50.63
2017-09-30,33.68,$0.40,84.15
2017-06-30,31.05,$1.14,27.18
2018-09-30,37.08,$-0.49,0.0
2017-03-31,32.39,$0.55,59.35
2016-12-31,25.67,$0.65,39.48
2016-09-30,23.67,$1.21,19.52
2016-06-30,17.91,$1.48,12.14
2016-03-31,18.06,$2.39,7.54
2015-12-31,15.24,$2.93,5.2
2015-09-30,19.62,$3.14,6.24
2015-06-30,26.72,$3.36,7.95
2015-03-31,26.26,$2.90,9.04
2014-12-31,27.76,$2.53,10.97
2014-09-30,31.89,$1.97,16.21
2014-06-30,35.58,$1.95,18.2
2014-03-31,33.93,$2.17,15.63
2013-12-31,39.71,$2.74,14.52
2013-09-30,34.64,$2.93,11.82
2013-06-30,29.38,$2.53,11.59
2013-03-31,29.42,$2.27,12.96
2012-12-31,30.03,$2.16,13.91
2012-09-30,27.72,$2.45,11.32
2012-06-30,24.67,$2.38,10.39
2012-03-31,33.03,$2.02,16.36
2011-12-31,27.0,$1.71,15.75
2011-09-30,24.12,$1.47,16.45
2011-06-30,30.99,$1.89,16.41
2011-03-31,28.55,$1.77,16.08
2010-12-31,28.8,$1.59,18.07
2010-09-30,22.49,$1.47,15.32
2010-06-30,18.41,$1.39,13.28
2010-03-31,20.28,$1.03,19.65
2009-12-31,18.6,$1.67,11.12
