OceanFirst Financial Price to Free Cash Flow Ratio Historical Data,OceanFirst Financial Price to Free Cash Flow Ratio Historical Data,OceanFirst Financial Price to Free Cash Flow Ratio Historical Data,OceanFirst Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.46,,12.16
2024-06-30,15.69,$1.60,9.81
2024-03-31,16.0,$2.37,6.74
2023-12-31,16.72,$1.98,8.46
2023-09-30,13.74,$3.11,4.42
2023-06-30,14.68,$3.40,4.31
2023-03-31,17.12,$2.30,7.45
2022-12-31,19.53,$2.34,8.33
2022-09-30,16.98,$1.14,14.87
2022-06-30,17.26,$1.52,11.35
2021-12-31,19.7,$1.98,9.97
2021-09-30,18.86,$2.67,7.06
2021-06-30,18.21,$4.07,4.48
2021-03-31,20.76,$3.17,6.55
2020-12-31,16.01,$2.92,5.49
2022-03-31,17.97,$2.82,6.36
2020-09-30,11.63,$2.35,4.96
2020-06-30,14.81,$2.08,7.12
2020-03-31,13.22,$2.20,6.0
2019-12-31,21.07,$1.92,10.96
2019-09-30,19.33,$2.24,8.62
2019-06-30,20.21,$2.48,8.15
2019-03-31,19.57,$2.53,7.75
2018-12-31,18.18,$1.91,9.51
2018-09-30,21.84,$0.55,39.8
2018-06-30,23.91,$0.67,35.92
2018-03-31,21.23,$0.75,28.48
2017-12-31,20.72,$0.95,21.83
2017-09-30,21.58,$1.16,18.58
2017-06-30,21.17,$1.35,15.65
2017-03-31,21.87,$1.06,20.64
2016-12-31,23.19,$1.14,20.4
2016-09-30,14.77,$1.96,7.52
2016-06-30,13.84,$1.24,11.17
2016-03-31,13.37,$1.64,8.14
2015-12-31,15.03,$1.45,10.34
2015-09-30,12.84,$1.79,7.18
2015-06-30,13.8,$1.91,7.22
2015-03-31,12.68,$1.35,9.39
2014-12-31,12.49,$1.41,8.88
2014-09-30,11.5,$1.11,10.32
2014-06-30,11.88,$1.12,10.63
2014-03-31,12.6,$1.41,8.91
2013-12-31,12.12,$1.82,6.67
2013-09-30,11.88,$1.66,7.17
2013-06-30,10.85,$1.35,8.06
2013-03-31,9.98,$1.35,7.4
2012-12-31,9.44,$1.59,5.95
2012-09-30,9.98,$1.36,7.32
2012-06-30,9.69,$1.93,5.02
2012-03-31,9.52,$1.57,6.05
2011-12-31,8.67,$0.84,10.3
2011-09-30,7.67,$1.26,6.06
2011-06-30,8.43,$1.36,6.19
2011-03-31,9.01,$1.84,4.91
2010-12-31,8.24,$2.05,4.01
2010-09-30,7.78,$0.99,7.83
2010-06-30,7.58,$1.46,5.18
2010-03-31,7.07,$0.37,19.32
2009-12-31,6.94,$1.10,6.3
