MoonLake Immunotherapeutics Price to Free Cash Flow Ratio Historical Data,MoonLake Immunotherapeutics Price to Free Cash Flow Ratio Historical Data,MoonLake Immunotherapeutics Price to Free Cash Flow Ratio Historical Data,MoonLake Immunotherapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.08,,0.0
2024-06-30,43.97,$-1.08,0.0
2024-03-31,50.23,$-0.89,0.0
2023-12-31,60.39,$-0.88,0.0
2023-09-30,57.0,$-1.27,0.0
2023-06-30,51.0,$-1.40,0.0
2023-03-31,21.39,$0.70,30.68
2022-12-31,10.5,$-1.90,0.0
2022-09-30,7.76,$10.20,0.76
2022-06-30,5.25,$1.08,4.88
2022-03-31,11.1,$-3.01,0.0
2021-12-31,9.89,$-0.21,0.0
2021-09-30,9.95,$-11.61,0.0
