Teradata Price to Free Cash Flow Ratio Historical Data,Teradata Price to Free Cash Flow Ratio Historical Data,Teradata Price to Free Cash Flow Ratio Historical Data,Teradata Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.34,,12.37
2024-06-30,34.56,$2.62,13.21
2024-03-31,38.67,$2.67,14.51
2023-12-31,43.51,$3.47,12.55
2023-09-30,45.02,$2.94,15.32
2023-06-30,53.41,$2.84,18.8
2023-03-31,40.28,$3.44,11.71
2022-12-31,33.66,$3.81,8.84
2022-09-30,31.06,$3.47,8.95
2022-06-30,37.01,$3.39,10.93
2022-03-31,49.29,$4.28,11.53
2021-12-31,42.47,$3.83,11.1
2021-09-30,57.35,$3.43,16.73
2021-06-30,49.97,$3.77,13.26
2021-03-31,38.54,$2.88,13.36
2020-12-31,22.47,$1.94,11.61
2020-09-30,22.7,$1.93,11.78
2020-06-30,20.8,$1.17,17.76
2020-03-31,20.49,$0.48,42.73
2019-12-31,26.77,$0.78,34.35
2019-09-30,31.0,$0.78,39.85
2019-06-30,35.85,$0.46,78.6
2019-03-31,43.65,$0.68,64.19
2018-12-31,38.36,$1.68,22.79
2018-09-30,37.71,$1.34,28.11
2018-06-30,40.15,$1.61,24.93
2018-03-31,39.67,$1.41,28.23
2017-12-31,38.46,$1.88,20.42
2017-09-30,33.79,$2.02,16.71
2017-06-30,29.49,$2.39,12.32
2017-03-31,31.12,$2.57,12.13
2016-12-31,27.17,$2.53,10.73
2016-09-30,31.0,$2.44,12.71
2016-06-30,25.07,$2.59,9.68
2016-03-31,26.24,$2.46,10.68
2015-12-31,26.42,$2.01,13.13
2015-09-30,28.96,$2.33,12.42
2015-06-30,37.0,$2.55,14.51
2015-03-31,44.14,$2.85,15.48
2014-12-31,43.68,$3.49,12.51
2014-09-30,41.92,$3.26,12.85
2014-06-30,40.2,$2.98,13.5
2014-03-31,49.19,$2.88,17.08
2013-12-31,45.49,$2.24,20.35
2013-09-30,55.44,$2.59,21.42
2013-06-30,50.23,$2.80,17.92
2013-03-31,58.51,$2.82,20.71
2012-12-31,61.89,$2.49,24.89
2012-09-30,75.41,$2.58,29.22
2012-06-30,72.01,$2.64,27.32
2012-03-31,68.15,$2.83,24.09
2011-12-31,48.51,$2.34,20.69
2011-09-30,53.53,$2.49,21.49
2011-06-30,60.2,$2.32,25.91
2011-03-31,50.7,$1.71,29.65
2010-12-31,41.16,$1.94,21.25
2010-09-30,38.56,$1.56,24.66
2010-06-30,30.48,$1.72,17.74
2010-03-31,28.89,$1.96,14.7
2009-12-31,31.43,$2.11,14.89
