Enovix Price to Free Cash Flow Ratio Historical Data,Enovix Price to Free Cash Flow Ratio Historical Data,Enovix Price to Free Cash Flow Ratio Historical Data,Enovix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.43,,0.0
2024-06-30,15.46,$-1.22,0.0
2024-03-31,8.01,$-1.16,0.0
2023-12-31,12.52,$-1.04,0.0
2023-09-30,12.55,$-0.85,0.0
2023-06-30,18.04,$-0.83,0.0
2023-03-31,14.91,$-0.76,0.0
2022-12-31,12.44,$-0.77,0.0
2022-09-30,18.34,$-0.92,0.0
2022-06-30,8.91,$-0.80,0.0
2022-03-31,14.27,$-0.84,0.0
2021-12-31,27.28,$-0.81,0.0
