Corning Price to Free Cash Flow Ratio Historical Data,Corning Price to Free Cash Flow Ratio Historical Data,Corning Price to Free Cash Flow Ratio Historical Data,Corning Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,41.85,,38.36
2024-06-30,38.59,$1.09,35.37
2024-03-31,32.74,$1.04,31.58
2023-12-31,29.99,$0.79,37.77
2023-09-30,29.71,$0.54,55.41
2023-06-30,33.88,$0.38,90.25
2023-03-31,33.81,$0.58,58.27
2022-12-31,30.36,$1.18,25.73
2022-09-30,27.36,$1.45,18.9
2022-06-30,29.48,$1.69,17.46
2022-03-31,34.27,$1.80,19.09
2021-12-31,34.34,$2.10,16.33
2021-09-30,33.45,$2.17,15.39
2021-06-30,37.27,$2.16,17.23
2021-03-31,39.43,$1.96,20.09
2020-12-31,32.42,$1.09,29.79
2020-09-30,29.0,$1.24,23.46
2020-06-30,23.02,$1.36,16.87
2020-03-31,18.08,$-0.91,0.0
2019-12-31,25.39,$-0.16,0.0
2019-09-30,24.71,$-0.44,0.0
2019-06-30,28.58,$-0.83,0.0
2018-12-31,25.66,$0.67,38.45
2018-09-30,29.82,$1.14,26.15
2018-06-30,23.11,$0.07,317.03
2018-03-31,23.26,$-0.02,0.0
2017-12-31,26.53,$0.28,95.26
2019-03-31,28.28,$-0.74,0.0
2017-09-30,24.69,$0.83,29.63
2017-06-30,24.66,$1.02,24.29
2017-03-31,22.04,$1.36,16.18
2016-12-31,19.71,$1.23,16.02
2016-09-30,19.09,$0.70,27.33
2016-06-30,16.44,$0.74,22.21
2016-03-31,16.65,$0.67,25.0
2015-12-31,14.47,$1.18,12.3
2015-09-30,13.46,$1.26,10.64
2015-06-30,15.4,$1.39,11.06
2015-03-31,17.61,$1.65,10.67
2014-12-31,17.72,$2.55,6.96
2014-09-30,14.87,$2.67,5.56
2014-06-30,16.8,$2.34,7.17
2014-03-31,15.86,$2.01,7.9
2013-12-31,13.5,$1.21,11.16
2013-09-30,10.99,$1.03,10.65
2013-06-30,10.64,$1.01,10.58
2013-03-31,9.91,$0.99,9.97
2012-12-31,9.31,$0.93,9.98
2012-09-30,9.62,$0.71,13.55
2012-06-30,9.4,$0.74,12.79
2012-03-31,10.18,$0.68,14.94
2011-12-31,9.33,$0.48,19.51
2011-09-30,8.84,$1.25,7.05
2011-06-30,12.94,$1.21,10.68
2011-03-31,14.67,$1.52,9.67
2010-12-31,13.71,$1.79,7.66
2010-09-30,12.94,$1.25,10.37
2010-06-30,11.39,$1.31,8.72
2010-03-31,14.22,$1.07,13.31
2009-12-31,13.55,$0.77,17.58
