Capital Southwest Price to Free Cash Flow Ratio Historical Data,Capital Southwest Price to Free Cash Flow Ratio Historical Data,Capital Southwest Price to Free Cash Flow Ratio Historical Data,Capital Southwest Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.64,,0.0
2024-06-30,25.44,$-2.47,0.0
2024-03-31,23.74,$-4.63,0.0
2023-12-31,21.96,$-3.48,0.0
2023-09-30,20.66,$-6.79,0.0
2023-06-30,17.31,$-6.31,0.0
2023-03-31,15.14,$-7.58,0.0
2022-12-31,14.08,$-8.33,0.0
2022-09-30,13.51,$-6.90,0.0
2022-06-30,14.3,$-6.10,0.0
2022-03-31,17.82,$-8.09,0.0
2021-12-31,18.6,$-7.13,0.0
2021-09-30,17.84,$-5.67,0.0
2021-06-30,16.12,$-7.05,0.0
2021-03-31,15.08,$-3.58,0.0
2020-12-31,11.8,$-3.72,0.0
2020-09-30,9.06,$-5.10,0.0
2020-06-30,8.4,$-3.75,0.0
2020-03-31,6.87,$-2.66,0.0
2019-12-31,12.03,$-2.47,0.0
2019-09-30,11.9,$-0.96,0.0
2019-06-30,11.18,$-4.71,0.0
2019-03-31,10.98,$-5.66,0.0
2018-12-31,9.81,$-5.30,0.0
2018-09-30,9.47,$-8.16,0.0
2018-06-30,8.83,$-4.91,0.0
2018-03-31,7.92,$-3.96,0.0
2017-12-31,7.57,$-4.28,0.0
2017-09-30,7.72,$-4.11,0.0
2017-06-30,7.14,$-6.00,0.0
2017-03-31,7.41,$-5.64,0.0
2016-12-31,6.88,$-7.32,0.0
2016-09-30,6.2,$-7.44,0.0
2016-06-30,5.72,$-6.14,0.0
2016-03-31,5.78,$-7.09,0.0
2015-12-31,5.77,$8.58,0.67
2015-09-30,6.95,$10.75,0.65
2015-06-30,7.32,$11.74,0.62
2015-03-31,6.79,$12.51,0.54
2014-12-31,5.55,$-0.38,0.0
2014-09-30,5.22,0,0.0
2014-06-30,5.26,0,0.0
2014-03-31,5.05,0,0.0
2013-12-31,5.08,0,0.0
2013-09-30,4.96,0,0.0
2013-06-30,5.0,0,0.0
2013-03-31,4.16,0,0.0
2012-12-31,3.52,0,0.0
2012-09-30,3.94,0,0.0
2012-06-30,3.62,0,0.0
2012-03-31,2.75,0,0.0
2011-12-31,2.37,0,0.0
2011-09-30,2.14,0,0.0
2011-06-30,2.67,0,0.0
2011-03-31,2.64,0,0.0
2010-12-31,2.99,0,0.0
2010-09-30,2.61,0,0.0
2010-06-30,2.52,0,0.0
2010-03-31,2.6,0,0.0
2009-12-31,2.25,0,0.0
