Pfizer Price to Free Cash Flow Ratio Historical Data,Pfizer Price to Free Cash Flow Ratio Historical Data,Pfizer Price to Free Cash Flow Ratio Historical Data,Pfizer Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,29.01,,34.47
2024-06-30,27.6,$0.84,32.8
2024-03-31,26.97,$0.89,30.15
2023-12-31,27.56,$0.84,32.83
2023-09-30,31.32,$1.42,22.07
2023-06-30,34.25,$1.85,18.51
2023-03-31,37.69,$3.53,10.68
2022-12-31,46.9,$4.54,10.33
2022-09-30,39.71,$4.10,9.68
2022-06-30,47.2,$4.97,9.5
2022-03-31,46.24,$5.55,8.33
2021-12-31,52.35,$5.23,10.0
2021-09-30,37.8,$5.21,7.25
2021-06-30,34.1,$3.73,9.14
2021-03-31,31.24,$2.39,13.08
2020-12-31,31.4,$2.16,14.52
2020-09-30,29.38,$1.87,15.71
2020-06-30,25.92,$2.29,11.31
2020-03-31,25.61,$2.12,12.08
2019-12-31,30.43,$1.86,16.38
2019-09-30,27.64,$1.99,13.92
2019-06-30,33.01,$2.07,15.97
2019-03-31,32.08,$2.27,14.15
2018-12-31,32.69,$2.32,14.12
2018-09-30,32.75,$2.68,12.24
2018-06-30,26.73,$2.63,10.17
2018-03-31,25.9,$0.38,67.93
2017-12-31,26.19,$0.98,26.61
2017-09-30,25.58,$0.63,40.38
2017-06-30,23.84,$0.42,56.29
2016-12-31,22.6,$2.33,9.69
2016-09-30,23.34,$2.15,10.86
2016-06-30,24.05,$2.21,10.9
2016-03-31,20.07,$2.30,8.74
2015-12-31,21.64,$2.12,10.19
2015-09-30,20.88,$2.25,9.27
2015-06-30,22.12,$2.16,10.26
2015-03-31,22.76,$2.13,10.66
2014-12-31,20.2,$2.47,8.17
2014-09-30,19.01,$2.37,8.01
2014-06-30,18.92,$2.61,7.24
2014-03-31,20.29,$2.51,8.09
2013-12-31,19.18,$2.39,8.03
2013-09-30,17.85,$2.27,7.86
2013-06-30,17.27,$2.00,8.61
2013-03-31,17.64,$2.01,8.77
2012-12-31,15.2,$2.05,7.4
2012-09-30,14.92,$2.04,7.32
2012-06-30,13.69,$1.94,7.06
2012-03-31,13.35,$2.15,6.22
2011-12-31,12.62,$2.36,5.35
2011-09-30,10.21,$2.49,4.1
2011-06-30,11.77,$2.75,4.28
2011-03-31,11.49,$2.60,4.42
2010-12-31,9.8,$1.23,7.96
2010-09-30,9.51,$1.08,8.77
2010-06-30,7.82,$0.86,9.11
2010-03-31,9.3,$0.93,9.98
2009-12-31,9.77,$2.18,4.48
2009-09-30,8.81,$1.82,4.83
