MSC Industrial Direct Price to Free Cash Flow Ratio Historical Data,MSC Industrial Direct Price to Free Cash Flow Ratio Historical Data,MSC Industrial Direct Price to Free Cash Flow Ratio Historical Data,MSC Industrial Direct Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,84.06,,14.18
2024-05-31,84.97,$5.93,14.34
2024-02-29,98.98,$6.15,16.11
2023-11-30,94.7,$11.01,8.6
2023-08-31,98.38,$10.80,9.11
2023-05-31,85.97,$11.09,7.76
2023-02-28,80.07,$9.98,8.02
2022-11-30,80.5,$3.88,20.76
2022-08-31,73.6,$3.74,19.68
2022-05-31,78.12,$2.85,27.43
2022-02-28,70.65,$1.75,40.39
2021-11-30,71.12,$2.10,33.9
2021-08-31,75.43,$3.04,24.78
2021-05-31,83.86,$4.87,17.21
2021-02-28,75.88,$5.71,13.29
2020-11-30,72.74,$6.69,10.88
2020-08-31,54.69,$6.29,8.7
2020-05-31,56.89,$5.47,10.39
2020-02-29,50.06,$5.96,8.4
2019-11-30,55.01,$5.09,10.8
2019-08-31,50.17,$4.98,10.07
2019-05-31,51.87,$4.42,11.74
2019-02-28,61.51,$4.79,12.85
2018-11-30,64.03,$5.10,12.55
2018-08-31,61.34,$5.20,11.8
2018-05-31,65.45,$4.91,13.33
2018-02-28,61.95,$4.05,15.31
2017-11-30,63.4,$3.69,17.2
2017-08-31,48.19,$3.52,13.71
2017-05-31,58.37,$3.15,18.52
2017-02-28,69.6,$3.82,18.2
2016-11-30,61.51,$4.51,13.63
2016-08-31,50.02,$5.13,9.75
2016-05-31,51.02,$5.29,9.65
2016-02-29,47.1,$5.41,8.71
2015-11-30,41.46,$4.24,9.78
2015-08-31,45.18,$3.23,14.0
2015-05-31,46.04,$2.52,18.24
2015-02-28,48.17,$1.71,28.22
2014-11-30,50.99,$2.50,20.38
2014-08-31,56.78,$3.24,17.54
2014-05-31,57.73,$3.59,16.07
2014-02-28,53.99,$4.14,13.04
2013-11-30,47.88,$4.05,11.82
2013-08-31,47.15,$3.75,12.58
2013-05-31,51.09,$4.02,12.69
2013-02-28,52.52,$3.57,14.7
2012-11-30,44.54,$1.21,36.75
2012-08-31,42.3,$0.99,42.56
2012-05-31,43.6,$0.80,54.55
2012-02-29,48.14,$0.30,158.45
2011-08-31,37.12,$2.91,12.74
2011-05-31,41.7,$3.27,12.75
2011-02-28,37.8,$2.95,12.82
2010-11-30,35.84,$2.91,12.33
2010-08-31,26.1,$2.62,9.96
2011-11-30,42.0,$1.99,21.09
2010-05-31,30.17,$2.05,14.7
2010-02-28,26.48,$3.02,8.77
2009-11-30,26.55,$4.88,5.44
