Comp En De Mn Cemig ADS Price to Free Cash Flow Ratio Historical Data,Comp En De Mn Cemig ADS Price to Free Cash Flow Ratio Historical Data,Comp En De Mn Cemig ADS Price to Free Cash Flow Ratio Historical Data,Comp En De Mn Cemig ADS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,1.96,,4.86
2024-06-30,1.64,$0.40,4.06
2024-03-31,1.75,$0.33,5.29
2023-12-31,1.62,$0.39,4.17
2023-09-30,1.66,$0.36,4.61
2023-06-30,1.79,$0.42,4.26
2023-03-31,1.5,$0.43,3.5
2022-12-31,1.35,$0.44,3.1
2022-09-30,1.32,$0.39,3.34
2022-06-30,1.3,$0.23,5.79
2022-03-31,1.54,$0.24,6.31
2021-12-31,1.16,$0.23,5.13
2021-09-30,1.18,$0.31,3.8
2021-06-30,1.11,$0.42,2.65
2021-03-31,0.93,$0.56,1.65
2020-12-31,1.17,$0.52,2.27
2020-09-30,0.75,$0.40,1.85
2020-06-30,0.78,$0.28,2.74
2020-03-31,0.64,$-0.06,0.0
2019-12-31,1.27,0,0.0
2019-09-30,1.26,$0.02,51.37
2019-06-30,1.42,$0.13,11.18
2019-03-31,1.29,$0.19,6.95
2018-12-31,1.29,$0.09,14.45
2018-09-30,0.62,$-0.04,0.0
2018-06-30,0.66,$-0.17,0.0
2018-03-31,0.89,$-0.05,0.0
2017-12-31,0.71,$0.05,13.02
2017-09-30,0.85,$-0.03,0.0
2017-06-30,0.83,$0.19,4.38
2017-03-31,1.12,$0.15,7.22
2016-12-31,0.77,$0.13,6.1
2016-09-30,0.86,$0.09,9.37
2016-06-30,0.74,$0.06,12.35
2016-03-31,0.71,$0.04,17.63
2015-12-31,0.46,0,0.0
2015-09-30,0.55,$0.22,2.51
2015-06-30,1.18,$0.06,18.39
2015-03-31,1.23,0,0.0
2014-12-31,1.49,0,0.0
2014-09-30,1.75,$-0.32,0.0
2014-06-30,2.19,$0.12,17.79
2014-03-31,1.77,$-0.04,0.0
2013-12-31,1.55,0,0.0
2013-09-30,1.69,$0.51,3.34
2013-06-30,1.75,$-0.10,0.0
2013-03-31,2.24,$0.22,10.2
2012-12-31,2.05,$0.18,11.14
2012-09-30,2.19,$0.91,2.42
2012-06-30,3.33,$1.07,3.11
2012-03-31,4.04,$0.81,4.97
2011-12-31,3.02,$0.91,3.33
2011-09-30,2.47,$-0.07,0.0
2011-06-30,3.44,0,0.0
2011-03-31,3.16,$-0.20,0.0
2010-12-31,2.72,0,0.0
2010-09-30,2.62,$0.36,7.34
2010-06-30,2.35,$0.51,4.63
2010-03-31,2.63,$0.78,3.36
2009-12-31,2.85,$0.56,5.1
