Leggett & Platt Price to Free Cash Flow Ratio Historical Data,Leggett & Platt Price to Free Cash Flow Ratio Historical Data,Leggett & Platt Price to Free Cash Flow Ratio Historical Data,Leggett & Platt Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.46,,5.53
2024-06-30,11.42,$2.44,4.69
2024-03-31,18.99,$2.43,7.83
2023-12-31,25.32,$2.98,8.48
2023-09-30,24.18,$3.56,6.78
2023-06-30,27.71,$2.92,9.48
2023-03-31,29.38,$2.82,10.43
2022-12-31,29.29,$2.53,11.58
2022-09-30,29.79,$2.42,12.3
2022-06-30,30.65,$2.29,13.4
2022-03-31,30.45,$1.89,16.12
2021-12-31,35.6,$1.49,23.95
2021-09-30,38.39,$1.54,24.85
2021-06-30,43.96,$3.22,13.63
2021-03-31,38.43,$3.79,10.13
2020-12-31,36.99,$3.95,9.37
2020-09-30,34.04,$4.00,8.52
2020-06-30,28.8,$3.48,8.28
2020-03-31,21.6,$3.78,5.72
2019-12-31,40.6,$3.88,10.47
2019-09-30,32.45,$3.44,9.44
2019-06-30,30.13,$2.74,11.0
2019-03-31,32.8,$2.05,16.04
2018-12-31,27.6,$2.08,13.3
2018-09-30,33.38,$1.98,16.83
2018-06-30,33.75,$1.83,18.42
2018-03-31,33.25,$1.93,17.24
2017-12-31,35.51,$2.07,17.15
2017-09-30,35.23,$1.93,18.24
2017-06-30,38.47,$2.16,17.77
2017-03-31,36.6,$2.64,13.87
2016-12-31,35.31,$3.06,11.53
2016-09-30,32.7,$2.59,12.65
2016-06-30,36.42,$2.72,13.38
2016-03-31,34.25,$2.27,15.11
2015-12-31,29.53,$1.79,16.49
2015-09-30,28.78,$2.31,12.44
2015-06-30,33.72,$2.22,15.17
2015-03-31,31.73,$2.31,13.74
2014-12-31,29.13,$2.01,14.49
2014-09-30,23.69,$2.14,11.08
2014-06-30,23.06,$2.05,11.25
2014-03-31,21.76,$2.07,10.5
2013-12-31,20.43,$2.28,8.95
2013-09-30,19.71,$2.53,7.8
2013-06-30,20.12,$2.39,8.41
2013-03-31,21.67,$2.29,9.44
2012-12-31,17.3,$2.59,6.67
2012-09-30,15.76,$2.01,7.84
2012-06-30,13.13,$2.05,6.41
2012-03-31,14.11,$1.86,7.6
2011-12-31,13.96,$1.73,8.08
2011-09-30,11.84,$1.88,6.3
2011-06-30,14.39,$1.78,8.08
2011-03-31,14.29,$1.88,7.6
2010-12-31,13.12,$1.92,6.82
2010-09-30,12.97,$1.87,6.92
2010-06-30,11.29,$2.21,5.11
2010-03-31,12.04,$2.75,4.37
2009-12-31,11.21,$3.10,3.61
