NextEra Energy Price to Free Cash Flow Ratio Historical Data,NextEra Energy Price to Free Cash Flow Ratio Historical Data,NextEra Energy Price to Free Cash Flow Ratio Historical Data,NextEra Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,80.51,,0.0
2024-06-30,70.36,$-5.62,0.0
2024-03-31,63.5,$-6.20,0.0
2023-12-31,59.8,$-6.80,0.0
2023-09-30,55.94,$-5.07,0.0
2023-06-30,71.96,$-5.86,0.0
2023-03-31,74.28,$-4.49,0.0
2022-12-31,80.04,$-5.57,0.0
2022-09-30,74.7,$-4.40,0.0
2022-06-30,73.44,$-4.08,0.0
2022-03-31,79.87,$-5.57,0.0
2021-12-31,87.55,$-4.32,0.0
2021-09-30,73.31,$-2.85,0.0
2021-06-30,68.11,$-1.56,0.0
2021-03-31,69.9,$-2.29,0.0
2020-12-31,70.95,$-2.85,0.0
2020-09-30,63.52,$-2.62,0.0
2020-06-30,54.69,$-3.81,0.0
2020-03-31,54.5,$-2.00,0.0
2019-12-31,54.55,$-4.12,0.0
2019-09-30,52.2,$-0.15,0.0
2019-06-30,45.64,$1.06,43.01
2019-03-31,42.8,$-1.60,0.0
2018-12-31,38.23,$1.22,31.34
2018-09-30,36.86,$2.88,12.81
2018-06-30,36.5,$-0.98,0.0
2018-03-31,35.44,$2.74,12.95
2017-12-31,33.65,$0.65,51.67
2017-09-30,31.38,$1.06,29.56
2017-06-30,29.81,$3.01,9.9
2017-03-31,27.12,$0.67,40.46
2016-12-31,25.05,$1.50,16.74
2016-09-30,25.45,$-1.81,0.0
2016-06-30,26.94,$-2.05,0.0
2016-03-31,24.27,$-2.28,0.0
2015-12-31,21.15,$-1.23,0.0
2015-09-30,19.71,$-0.86,0.0
2015-06-30,19.65,$-0.86,0.0
2015-03-31,20.7,$-0.45,0.0
2014-12-31,20.99,$-0.69,0.0
2014-09-30,18.41,$-0.53,0.0
2014-06-30,19.95,$-0.59,0.0
2014-03-31,18.48,$-0.82,0.0
2013-12-31,16.41,$-0.83,0.0
2013-09-30,15.25,$-1.91,0.0
2013-06-30,15.37,$-2.53,0.0
2013-03-31,14.53,$-3.01,0.0
2012-12-31,12.82,$-3.26,0.0
2012-09-30,12.92,$-2.18,0.0
2012-06-30,12.53,$-1.55,0.0
2012-03-31,11.02,$-1.24,0.0
2011-12-31,10.88,$-0.81,0.0
2011-09-30,9.55,$-1.14,0.0
2011-06-30,10.06,$-1.12,0.0
2011-03-31,9.56,$-1.18,0.0
2010-12-31,8.92,$-1.22,0.0
2010-09-30,9.25,$-1.31,0.0
2010-06-30,8.21,$-1.38,0.0
2010-03-31,8.06,$-1.25,0.0
2009-12-31,8.71,$-0.95,0.0
