Chesapeake Utilities Price to Free Cash Flow Ratio Historical Data,Chesapeake Utilities Price to Free Cash Flow Ratio Historical Data,Chesapeake Utilities Price to Free Cash Flow Ratio Historical Data,Chesapeake Utilities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,121.81,,0.0
2024-06-30,105.65,$-1.94,0.0
2024-03-31,106.1,$-0.28,0.0
2023-12-31,103.85,$0.97,107.62
2023-09-30,95.57,$2.31,41.35
2023-06-30,115.73,$1.85,62.44
2023-03-31,123.9,$1.94,63.73
2022-12-31,113.92,$1.94,58.85
2022-09-30,110.73,$0.02,4711.8
2022-06-30,123.8,$-0.23,0.0
2022-03-31,131.06,$-1.43,0.0
2021-12-31,138.23,$-2.01,0.0
2021-09-30,113.41,$0.58,194.67
2021-06-30,113.24,$1.00,113.46
2021-03-31,108.81,$0.04,2439.67
2020-12-31,101.06,$0.09,1141.89
2020-09-30,78.41,$-3.01,0.0
2020-06-30,77.69,$-3.19,0.0
2020-03-31,78.85,$-3.10,0.0
2019-12-31,87.74,$-4.95,0.0
2019-09-30,86.9,$-6.96,0.0
2019-06-30,86.26,$-7.29,0.0
2019-03-31,82.44,$-7.83,0.0
2018-12-31,73.19,$-7.44,0.0
2018-09-30,75.23,$-4.65,0.0
2018-06-30,71.39,$-5.53,0.0
2018-03-31,62.51,$-4.80,0.0
2017-12-31,69.48,$-3.94,0.0
2017-09-30,68.93,$-4.56,0.0
2017-06-30,65.76,$-4.04,0.0
2017-03-31,60.45,$-3.53,0.0
2016-12-31,58.22,$-4.20,0.0
2016-09-30,52.85,$-3.88,0.0
2016-06-30,57.0,$-3.75,0.0
2016-03-31,53.96,$-4.67,0.0
2015-12-31,48.39,$-2.56,0.0
2015-09-30,45.02,$-0.45,0.0
2015-06-30,45.39,$-0.08,0.0
2015-03-31,42.44,$0.15,288.33
2014-12-31,41.41,$-0.49,0.0
2014-09-30,34.54,$-1.76,0.0
2014-06-30,39.2,$-1.43,0.0
2014-03-31,34.5,$-1.05,0.0
2013-12-31,32.58,$-1.65,0.0
2013-09-30,28.3,$-1.46,0.0
2013-06-30,27.55,$-1.35,0.0
2013-03-31,26.05,$-0.49,0.0
2012-12-31,23.94,$-0.27,0.0
2012-09-30,24.77,$1.39,17.85
2012-06-30,22.69,$0.99,22.88
2012-03-31,21.17,$1.43,14.8
2011-12-31,22.14,$1.73,12.81
2011-09-30,20.31,$0.47,42.93
2011-06-30,20.09,$0.76,26.37
2011-03-31,20.7,$0.08,265.0
2010-12-31,20.48,$1.09,18.88
2010-09-30,17.72,$1.04,16.96
2010-06-30,15.22,$1.37,11.12
2010-03-31,14.29,$1.96,7.3
2009-12-31,15.21,$1.72,8.84
