ADT Price to Free Cash Flow Ratio Historical Data,ADT Price to Free Cash Flow Ratio Historical Data,ADT Price to Free Cash Flow Ratio Historical Data,ADT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.02,,6.33
2024-06-30,7.54,$1.11,6.8
2024-03-31,6.62,$1.02,6.46
2023-12-31,6.66,$0.93,7.14
2023-09-30,5.83,$1.10,5.3
2023-06-30,5.82,$1.11,5.23
2023-03-31,6.94,$1.09,6.39
2022-12-31,8.67,$1.08,8.02
2022-09-30,7.13,$1.01,7.06
2022-06-30,5.83,$0.88,6.62
2022-03-31,7.16,$0.83,8.61
2021-12-31,7.9,$0.95,8.28
2021-09-30,7.56,$0.85,8.85
2021-06-30,10.04,$0.91,11.02
2021-03-31,7.83,$1.03,7.6
2020-12-31,7.25,$1.02,7.14
2020-09-30,7.52,$1.12,6.69
2020-06-30,7.31,$1.31,5.57
2020-03-31,3.94,$1.34,2.95
2019-12-31,7.17,$1.57,4.57
2019-09-30,5.22,$1.51,3.46
2019-06-30,5.06,$1.43,3.54
2019-03-31,5.23,$1.42,3.67
2018-12-31,4.92,$1.45,3.39
