Thomson Reuters Corp Price to Free Cash Flow Ratio Historical Data,Thomson Reuters Corp Price to Free Cash Flow Ratio Historical Data,Thomson Reuters Corp Price to Free Cash Flow Ratio Historical Data,Thomson Reuters Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,168.34,,39.53
2024-06-30,168.02,$4.26,39.45
2024-03-31,154.83,$4.24,36.52
2023-12-31,144.78,$3.87,37.38
2023-09-30,120.67,$3.80,31.79
2023-06-30,132.62,$3.38,39.26
2023-03-31,132.15,$2.77,47.73
2022-12-31,115.38,$2.72,42.39
2022-09-30,103.39,$2.19,47.31
2022-06-30,104.59,$2.25,46.52
2022-03-31,108.74,$0.30,360.9
2021-12-31,118.96,$2.70,44.1
2021-09-30,109.5,$3.09,35.39
2021-06-30,98.09,$3.41,28.76
2021-03-31,86.11,$5.43,15.86
2020-12-31,80.15,$2.92,27.43
2020-09-30,77.71,$2.41,32.26
2020-06-30,65.88,$1.52,43.27
2020-03-31,65.41,$0.88,74.54
2019-12-31,68.67,$0.42,163.07
2019-09-30,63.82,$-0.17,0.0
2019-06-30,61.18,$0.66,93.06
2019-03-31,55.88,$1.65,33.81
2018-12-31,45.3,$2.35,19.29
2018-09-30,46.84,$3.25,14.4
2018-06-30,41.01,$3.18,12.91
2018-03-31,38.96,$3.27,11.91
2017-12-31,43.57,$2.18,20.03
2017-09-30,45.5,$2.54,17.89
2017-06-30,45.56,$2.35,19.35
2017-03-31,42.22,$2.09,20.22
2016-12-31,42.43,$3.17,13.38
2016-09-30,39.77,$3.07,12.96
2016-06-30,38.53,$2.93,13.15
2016-03-31,38.27,$3.15,12.14
2015-12-31,35.45,$2.75,12.89
2015-09-30,37.39,$2.52,14.83
2015-06-30,35.07,$2.32,15.12
2015-03-31,37.06,$2.16,17.16
2014-12-31,36.54,$2.04,17.94
2014-09-30,32.7,$1.44,22.64
2014-06-30,32.37,$1.57,20.56
2014-03-31,30.16,$1.65,18.32
2013-12-31,33.03,$1.51,21.86
2013-09-30,30.32,$2.25,13.45
2013-06-30,27.93,$2.12,13.17
2013-03-31,27.6,$1.18,23.32
2012-12-31,24.42,$2.33,10.47
2012-09-30,23.97,$2.17,11.07
2012-06-30,23.37,$2.84,8.22
2012-03-31,23.47,$3.64,6.46
2011-12-31,21.41,$2.70,7.92
2011-09-30,21.48,$2.87,7.48
2011-06-30,29.54,$2.02,14.59
2011-03-31,30.62,$2.06,14.86
2010-12-31,28.85,$2.16,13.36
2010-09-30,28.83,$2.00,14.43
2010-06-30,27.3,$2.01,13.56
2010-03-31,27.44,$2.14,12.83
2009-12-31,24.18,$2.23,10.86
