Everi Holdings Price to Free Cash Flow Ratio Historical Data,Everi Holdings Price to Free Cash Flow Ratio Historical Data,Everi Holdings Price to Free Cash Flow Ratio Historical Data,Everi Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.32,,14.71
2024-06-30,8.4,$0.91,9.28
2024-03-31,10.05,$1.72,5.83
2023-12-31,11.27,$1.60,7.04
2023-09-30,13.22,$1.61,8.19
2023-06-30,14.46,$1.73,8.37
2023-03-31,17.15,$1.69,10.18
2022-12-31,14.35,$1.48,9.67
2022-09-30,16.22,$1.44,11.23
2022-06-30,16.31,$1.56,10.46
2022-03-31,21.0,$1.44,14.56
2021-12-31,21.35,$2.56,8.35
2021-09-30,24.18,$1.85,13.1
2021-06-30,24.94,$1.48,16.85
2021-03-31,14.11,$2.28,6.19
2020-12-31,13.81,$-0.47,0.0
2020-09-30,8.25,$-1.49,0.0
2020-06-30,5.16,$0.51,10.13
2020-03-31,3.3,$-0.40,0.0
2019-12-31,13.43,$-0.37,0.0
2019-09-30,8.46,$2.90,2.92
2019-06-30,11.93,$1.03,11.6
2019-03-31,10.52,$0.72,14.59
2018-12-31,5.15,$2.59,1.98
2018-09-30,9.17,$0.18,49.62
2018-06-30,7.2,$-0.58,0.0
2018-03-31,6.57,$-0.13,0.0
2017-12-31,7.54,$-0.00,0.0
2017-09-30,7.59,$0.49,15.53
2017-06-30,7.28,$1.08,6.72
2017-03-31,4.79,$1.04,4.59
2016-12-31,2.17,$0.84,2.57
2016-09-30,2.47,$0.26,9.48
2016-06-30,1.15,$0.97,1.18
