Newell Brands Price to Free Cash Flow Ratio Historical Data,Newell Brands Price to Free Cash Flow Ratio Historical Data,Newell Brands Price to Free Cash Flow Ratio Historical Data,Newell Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.68,,6.86
2024-06-30,6.35,$1.12,5.67
2024-03-31,7.88,$2.89,2.72
2023-12-31,8.44,$3.46,2.44
2023-09-30,8.7,$2.55,3.41
2023-06-30,8.33,$1.13,7.36
2022-12-31,12.22,$-1.40,0.0
2022-09-30,12.75,$-0.12,0.0
2022-06-30,17.27,$-0.03,0.0
2022-03-31,19.21,$1.39,13.77
2021-12-31,19.41,$2.30,8.45
2023-03-31,11.81,$0.33,35.31
2021-09-30,19.48,$1.93,10.09
2021-06-30,23.95,$2.59,9.26
2021-03-31,23.16,$2.66,8.7
2020-12-31,18.18,$2.77,6.57
2020-09-30,14.54,$2.80,5.2
2020-06-30,13.27,$2.22,5.98
2020-03-31,10.91,$2.37,4.61
2019-12-31,15.56,$1.84,8.46
2019-09-30,14.97,$1.42,10.57
2019-06-30,12.16,$1.55,7.85
2019-03-31,11.89,$1.04,11.47
2018-12-31,14.21,$0.62,22.74
2018-09-30,15.52,$1.60,9.72
2018-06-30,19.51,$0.75,26.02
2018-03-31,19.1,$0.88,21.82
2017-12-31,22.97,$1.15,20.02
2017-09-30,31.48,$1.52,20.68
2017-06-30,39.37,$2.12,18.57
2017-03-31,34.48,$3.73,9.25
2016-12-31,32.51,$3.32,9.79
2016-09-30,38.19,$2.05,18.62
2016-06-30,35.1,$2.29,15.3
2016-03-31,31.88,$1.00,31.92
2015-12-31,31.57,$1.41,22.47
2015-09-30,28.32,$1.39,20.33
2015-06-30,29.19,$1.48,19.73
2015-03-31,27.61,$1.45,19.1
2014-12-31,26.79,$1.76,15.21
2014-09-30,24.09,$2.39,10.07
2014-06-30,21.58,$2.42,8.91
2014-03-31,20.7,$2.35,8.82
2013-12-31,22.33,$2.25,9.92
2013-09-30,18.86,$1.46,12.89
2013-06-30,17.89,$1.21,14.84
2013-03-31,17.69,$1.29,13.68
2012-12-31,15.0,$1.50,9.98
2012-09-30,12.77,$1.63,7.86
2012-06-30,12.06,$1.56,7.74
2012-03-31,11.78,$1.48,7.96
2011-12-31,10.64,$1.29,8.23
2011-09-30,7.78,$0.97,8.02
2011-06-30,10.28,$0.67,15.38
2011-03-31,12.4,$0.92,13.53
2010-12-31,11.76,$1.42,8.26
2010-09-30,11.48,$1.46,7.85
2010-06-30,9.41,$1.90,4.96
2010-03-31,9.74,$1.73,5.62
2009-12-31,9.58,$1.59,6.04
