BJ's Wholesale Club Holdings Price to Free Cash Flow Ratio Historical Data,BJ's Wholesale Club Holdings Price to Free Cash Flow Ratio Historical Data,BJ's Wholesale Club Holdings Price to Free Cash Flow Ratio Historical Data,BJ's Wholesale Club Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,85.62,,30.37
2024-07-31,87.96,$2.82,31.2
2024-04-30,74.68,$2.37,31.46
2024-01-31,64.34,$1.86,34.52
2023-10-31,68.12,$1.24,54.75
2023-07-31,66.31,$1.43,46.45
2023-04-30,76.37,$3.40,22.48
2023-01-31,72.47,$2.86,25.34
2022-10-31,77.4,$2.31,33.48
2022-07-31,67.7,$2.54,26.61
2022-04-30,64.35,$2.09,30.86
2022-01-31,61.47,$3.68,16.7
2021-10-31,58.44,$3.71,15.73
2021-07-31,50.64,$3.00,16.9
2021-04-30,44.67,$2.80,15.96
2021-01-31,42.07,$4.68,8.99
2020-10-31,38.29,$5.25,7.3
2020-07-31,40.05,$4.89,8.19
2020-04-30,26.31,$4.22,6.24
2020-01-31,20.52,$1.14,18.04
2019-10-31,26.7,$1.82,14.67
2019-07-31,23.56,$2.04,11.56
2019-04-30,28.35,$2.38,11.91
