MannKind Price to Free Cash Flow Ratio Historical Data,MannKind Price to Free Cash Flow Ratio Historical Data,MannKind Price to Free Cash Flow Ratio Historical Data,MannKind Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.6,,96.63
2024-06-30,5.22,$0.07,76.43
2024-03-31,4.53,$0.01,0.0
2023-12-31,3.64,$-0.03,0.0
2023-09-30,4.13,$-0.11,0.0
2023-06-30,4.07,$-0.22,0.0
2023-03-31,4.1,$-0.28,0.0
2022-12-31,5.27,$-0.34,0.0
2022-09-30,3.09,$-0.38,0.0
2022-06-30,3.81,$-0.36,0.0
2022-03-31,3.68,$-0.33,0.0
2021-12-31,4.37,$-0.29,0.0
2021-09-30,4.35,$-0.23,0.0
2021-06-30,5.45,$-0.20,0.0
2021-03-31,3.92,$-0.13,0.0
2020-12-31,3.13,$-0.13,0.0
2020-09-30,1.88,$-0.16,0.0
2020-06-30,1.75,$-0.36,0.0
2020-03-31,1.03,$-0.46,0.0
2019-12-31,1.29,$-0.47,0.0
2019-09-30,1.25,$-0.28,0.0
2019-06-30,1.15,$-0.09,0.0
2019-03-31,1.97,$-0.15,0.0
2018-12-31,1.06,$-0.26,0.0
2018-09-30,1.83,$-0.70,0.0
2018-06-30,1.9,$-0.85,0.0
2018-03-31,2.28,$-0.89,0.0
2017-12-31,2.32,$-0.62,0.0
2017-09-30,2.17,$-0.50,0.0
2017-06-30,1.41,$-0.50,0.0
2017-03-31,1.48,$-0.40,0.0
2016-12-31,3.18,$-0.86,0.0
2016-09-30,3.1,$-0.97,0.0
2016-06-30,5.8,$-1.01,0.0
2016-03-31,8.05,$-1.19,0.0
2015-12-31,7.25,$-0.83,0.0
2015-09-30,16.05,$-1.19,0.0
2015-06-30,28.45,$0.37,77.48
2015-03-31,26.0,$0.25,105.65
2014-12-31,26.08,$-0.26,0.0
2014-09-30,29.55,$-0.27,0.0
2014-06-30,54.8,$-2.09,0.0
2014-03-31,20.1,$-2.20,0.0
2013-12-31,26.0,$-2.28,0.0
2013-09-30,28.5,$-2.54,0.0
2013-06-30,32.53,$-2.63,0.0
2013-03-31,16.95,$-2.78,0.0
2012-12-31,11.55,$-3.33,0.0
2012-09-30,14.4,$-3.27,0.0
2012-06-30,11.45,$-4.15,0.0
2012-03-31,12.35,$-5.15,0.0
2011-12-31,12.5,$-5.36,0.0
2011-09-30,18.95,$-6.39,0.0
2011-06-30,19.0,$-6.49,0.0
2011-03-31,18.2,$-6.53,0.0
2010-12-31,40.3,$-6.96,0.0
2010-09-30,33.8,$-7.09,0.0
2010-06-30,31.95,$-7.27,0.0
2010-03-31,32.8,$-8.05,0.0
2009-12-31,43.8,$-9.52,0.0
