Employers Holdings Inc Price to Free Cash Flow Ratio Historical Data,Employers Holdings Inc Price to Free Cash Flow Ratio Historical Data,Employers Holdings Inc Price to Free Cash Flow Ratio Historical Data,Employers Holdings Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.98,,21.48
2024-06-30,42.35,$2.33,18.2
2024-03-31,44.78,$1.61,27.76
2023-12-31,38.64,$1.78,21.71
2023-09-30,38.89,$1.91,20.38
2023-06-30,36.16,$2.05,17.65
2023-03-31,40.0,$3.08,12.99
2022-12-31,41.14,$3.51,11.72
2022-09-30,31.8,$3.03,10.49
2022-06-30,38.37,$2.47,15.55
2022-03-31,36.45,$1.23,29.58
2021-12-31,36.53,$0.25,145.13
2021-09-30,34.65,$-0.95,0.0
2021-06-30,37.33,$-0.80,0.0
2021-03-31,37.33,$0.06,591.57
2020-12-31,27.7,$0.91,30.42
2020-09-30,25.83,$1.75,14.76
2020-06-30,25.55,$3.15,8.11
2020-03-31,34.04,$3.36,10.12
2019-12-31,34.86,$3.39,10.27
2019-09-30,36.2,$4.44,8.16
2019-06-30,34.93,$3.86,9.05
2019-03-31,32.97,$4.27,7.73
2018-12-31,34.5,$5.10,6.76
2018-09-30,37.08,$4.92,7.54
2018-06-30,32.76,$5.23,6.26
2018-03-31,32.8,$4.53,7.24
2017-12-31,35.82,$4.06,8.83
2017-09-30,36.55,$3.65,10.01
2017-06-30,33.9,$3.47,9.77
2017-03-31,30.3,$3.75,8.08
2016-12-31,31.49,$3.57,8.82
2016-09-30,23.65,$3.38,6.99
2016-06-30,22.94,$2.68,8.56
2016-03-31,22.17,$3.13,7.08
2015-12-31,21.44,$3.22,6.66
2015-09-30,17.47,$3.71,4.71
2015-06-30,17.81,$4.43,4.02
2015-03-31,21.05,$4.61,4.56
2014-12-31,18.29,$5.03,3.63
2014-09-30,14.93,$5.36,2.79
2014-06-30,16.39,$4.85,3.38
2014-03-31,15.61,$4.96,3.15
2013-12-31,24.34,$5.08,4.79
2013-09-30,22.83,$4.94,4.62
2013-06-30,18.73,$4.98,3.76
2013-03-31,17.92,$4.59,3.91
2012-12-31,15.68,$3.98,3.94
2012-09-30,13.93,$2.91,4.79
2012-06-30,13.66,$2.35,5.8
2012-03-31,13.36,$1.58,8.45
2011-12-31,13.6,$1.02,13.39
2011-09-30,9.56,$2.09,4.57
2011-06-30,12.5,$1.86,6.73
2011-03-31,15.35,$1.41,10.87
2010-12-31,12.94,$1.33,9.75
2010-09-30,11.63,$-0.06,0.0
2010-06-30,10.82,$-0.30,0.0
2010-03-31,10.87,$0.21,52.48
2009-12-31,11.18,$0.78,14.29
