Peoples Bancorp Price to Free Cash Flow Ratio Historical Data,Peoples Bancorp Price to Free Cash Flow Ratio Historical Data,Peoples Bancorp Price to Free Cash Flow Ratio Historical Data,Peoples Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.22,,7.93
2024-06-30,29.6,$4.06,7.29
2024-03-31,28.83,$3.30,8.72
2023-12-31,32.43,$3.97,8.16
2023-09-30,24.05,$3.55,6.78
2023-06-30,24.81,$3.64,6.81
2023-03-31,23.7,$5.17,4.59
2022-12-31,25.68,$4.04,6.36
2022-09-30,25.96,$7.31,3.55
2022-06-30,23.57,$7.09,3.33
2022-03-31,27.37,$6.38,4.29
2021-12-31,27.5,$6.82,4.03
2021-09-30,27.03,$4.35,6.21
2021-06-30,25.03,$4.56,5.49
2021-03-31,27.73,$4.18,6.63
2020-12-31,22.39,$4.09,5.47
2020-09-30,15.54,$3.42,4.54
2020-06-30,17.03,$3.69,4.62
2020-03-31,17.48,$3.77,4.64
2019-12-31,27.06,$3.17,8.53
2019-09-30,24.58,$3.72,6.61
2019-06-30,24.66,$4.00,6.17
2019-03-31,23.68,$3.94,6.01
2018-12-31,22.8,$4.43,5.15
2018-09-30,26.3,$4.10,6.42
2018-03-31,26.21,$2.93,8.95
2017-12-31,23.94,$3.08,7.76
2017-09-30,24.49,$4.11,5.96
2017-06-30,23.27,$2.36,9.85
2017-03-31,22.79,$2.19,10.4
2016-12-31,23.22,$2.26,10.26
2018-06-30,28.15,$1.28,21.92
2016-09-30,17.47,$2.92,5.99
2016-06-30,15.37,$3.24,4.74
2016-03-31,13.68,$3.46,3.96
2015-12-31,13.08,$2.17,6.01
2015-09-30,14.21,$2.20,6.47
2015-06-30,15.97,$1.46,10.92
2015-03-31,16.07,$0.67,23.93
2014-12-31,17.51,$1.98,8.84
2014-09-30,15.95,$1.71,9.3
2014-06-30,17.65,$2.55,6.91
2014-03-31,16.4,$3.13,5.24
2013-12-31,14.83,$3.17,4.68
2013-09-30,13.67,$4.10,3.33
2013-06-30,13.72,$3.56,3.85
2013-03-31,14.47,$3.60,4.02
2012-12-31,13.13,$3.49,3.76
2012-09-30,14.63,$2.95,4.96
2012-06-30,13.98,$3.42,4.09
2012-03-31,11.09,$3.53,3.14
2011-12-31,9.3,$4.02,2.32
2011-09-30,6.86,$4.10,1.67
2011-06-30,6.97,$4.12,1.69
2011-03-31,7.43,$4.32,1.72
2010-12-31,9.59,$4.14,2.32
2010-09-30,7.54,$3.18,2.37
2010-06-30,8.7,$3.32,2.62
2010-03-31,9.89,$2.63,3.77
2009-12-31,5.77,$2.03,2.84
