Coterra Energy Price to Free Cash Flow Ratio Historical Data,Coterra Energy Price to Free Cash Flow Ratio Historical Data,Coterra Energy Price to Free Cash Flow Ratio Historical Data,Coterra Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,24.33,,18.67
2024-06-30,26.44,$1.30,20.28
2024-03-31,27.43,$1.31,20.95
2023-12-31,24.91,$2.10,11.84
2023-09-30,26.22,$2.96,8.85
2023-06-30,24.34,$4.36,5.58
2023-03-31,23.42,$4.76,4.92
2022-12-31,22.88,$4.73,4.83
2022-09-30,23.74,$4.74,5.01
2022-06-30,22.92,$3.20,7.16
2022-03-31,23.49,$2.76,8.52
2021-12-31,16.2,$1.88,8.62
2021-09-30,17.86,$1.16,15.35
2021-06-30,14.23,$0.96,14.76
2021-03-31,15.21,$0.78,19.48
2020-12-31,13.12,$0.51,25.91
2020-09-30,13.91,$0.20,70.37
2020-06-30,13.69,$0.44,30.87
2020-03-31,13.63,$0.80,17.09
2019-12-31,13.71,$1.58,8.68
2019-09-30,13.76,$1.50,9.15
2019-06-30,17.98,$1.37,13.15
2019-03-31,20.37,$1.25,16.24
2018-12-31,17.4,$1.99,8.76
2018-09-30,17.48,$2.02,8.64
2018-06-30,18.43,$2.02,9.13
2018-03-31,18.52,$2.06,9.0
2017-12-31,22.04,$0.53,41.21
2017-09-30,20.58,$0.38,53.97
2017-06-30,19.25,$0.36,53.03
2017-03-31,18.32,$0.23,78.52
2016-12-31,17.88,$0.16,112.39
2016-09-30,19.73,$0.20,97.24
2016-06-30,19.67,$0.10,188.58
2016-03-31,17.34,$-0.12,0.0
2015-12-31,13.49,$-0.48,0.0
2015-09-30,16.66,$-1.00,0.0
2015-06-30,24.02,$-0.90,0.0
2015-03-31,22.47,$-0.59,0.0
2014-12-31,22.52,$-0.49,0.0
2014-09-30,24.84,$0.47,53.28
2014-06-30,25.93,$0.36,71.7
2014-03-31,25.72,$0.28,93.42
2013-12-31,29.41,$0.36,81.03
2013-09-30,28.3,$-0.21,0.0
2013-06-30,26.91,$-0.36,0.0
2013-03-31,25.61,$-0.23,0.0
2012-12-31,18.84,$-0.25,0.0
2012-09-30,17.0,$0.34,49.62
2012-06-30,14.91,$0.37,40.29
2012-03-31,11.79,$0.16,75.6
2011-12-31,14.34,$0.03,425.56
2011-09-30,11.69,$-0.17,0.0
2011-06-30,12.52,$-0.15,0.0
2011-03-31,9.99,$-0.28,0.0
2010-12-31,7.14,$-0.31,0.0
2010-09-30,5.67,$-0.61,0.0
2010-06-30,5.89,$-0.43,0.0
2010-03-31,6.92,$-0.08,0.0
2009-12-31,8.19,$0.20,41.3
