Getty Images Holdings Price to Free Cash Flow Ratio Historical Data,Getty Images Holdings Price to Free Cash Flow Ratio Historical Data,Getty Images Holdings Price to Free Cash Flow Ratio Historical Data,Getty Images Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.02,,24.44
2024-06-30,3.26,$0.16,19.82
2024-03-31,4.15,$0.16,25.78
2023-12-31,5.25,$0.18,28.53
2023-09-30,6.49,$0.26,24.89
2023-06-30,4.88,$0.26,18.84
2023-03-31,5.09,$0.27,19.18
2022-12-31,5.55,$0.37,14.8
2022-09-30,6.79,$0.48,14.16
2022-06-30,9.99,$0.92,10.86
2022-03-31,9.92,$0.88,11.31
2021-12-31,9.9,$0.69,14.25
2021-09-30,9.82,$0.47,20.89
2020-12-31,10.4,$-0.01,0.0
