Illinois Tool Works Price to Free Cash Flow Ratio Historical Data,Illinois Tool Works Price to Free Cash Flow Ratio Historical Data,Illinois Tool Works Price to Free Cash Flow Ratio Historical Data,Illinois Tool Works Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,253.18,,26.69
2024-06-30,236.96,$9.49,24.98
2024-03-31,266.75,$9.89,26.97
2023-12-31,259.05,$10.26,25.25
2023-09-30,227.77,$9.36,24.34
2023-06-30,245.92,$8.49,28.95
2023-03-31,238.06,$7.52,31.66
2022-12-31,214.26,$6.30,34.0
2022-09-30,174.66,$6.39,27.35
2022-06-30,174.96,$6.14,28.48
2022-03-31,199.68,$6.29,31.73
2021-12-31,234.02,$7.20,32.5
2021-09-30,194.96,$7.19,27.11
2021-06-30,209.73,$7.42,28.25
2021-03-31,206.76,$8.07,25.61
2020-12-31,189.34,$8.11,23.35
2020-09-30,178.42,$8.00,22.31
2020-06-30,160.52,$8.65,18.56
2020-03-31,129.66,$8.37,15.48
2019-12-31,162.66,$8.27,19.66
2019-09-30,140.87,$8.33,16.9
2019-06-30,134.82,$7.96,16.94
2019-03-31,127.46,$7.68,16.6
2018-12-31,111.72,$7.34,15.23
2018-09-30,123.46,$6.96,17.74
2018-06-30,120.35,$6.75,17.84
2018-03-31,135.33,$6.26,21.62
2017-12-31,143.41,$6.11,23.47
2017-09-30,126.58,$5.98,21.17
2017-06-30,121.9,$5.50,22.18
2017-03-31,112.22,$5.71,19.64
2016-12-31,103.23,$5.73,18.03
2016-09-30,100.49,$5.77,17.43
2016-06-30,86.87,$5.98,14.53
2016-03-31,84.97,$5.72,14.85
2015-12-31,76.46,$5.53,13.84
2015-09-30,67.51,$4.72,14.32
2015-06-30,74.78,$3.37,22.22
2015-03-31,78.73,$3.54,22.22
2014-12-31,76.37,$3.17,24.08
2014-09-30,67.73,$3.64,18.58
2014-06-30,69.86,$4.89,14.3
2014-03-31,64.58,$4.87,13.26
2013-12-31,66.41,$4.89,13.58
2013-09-30,59.94,$4.58,13.1
2013-06-30,54.07,$4.11,13.14
2013-03-31,47.37,$3.75,12.63
2012-12-31,46.98,$3.63,12.92
2012-09-30,45.65,$3.82,11.94
2012-06-30,40.34,$4.09,9.87
2012-03-31,43.27,$3.66,11.81
2011-12-31,35.16,$3.28,10.73
2011-09-30,31.07,$2.58,12.02
2011-06-30,41.84,$2.01,20.77
2011-03-31,39.54,$2.10,18.85
2010-12-31,39.07,$2.42,16.14
2010-09-30,34.18,$2.78,12.31
2010-06-30,29.79,$2.91,10.23
2010-03-31,33.94,$3.52,9.64
2009-12-31,34.16,$3.86,8.85
